Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,10.8607893,0,0,14,14,13,2,0,3.645325546,3,0
1984,8.375092506,0,0,11,11,9,0,0,3.28990334,3,0
1985,12.1827879,0,0.296031976,18,18,14,1,0,4.494658947,2,0
1986,10.75765991,0,0.82827847,18,18,18,1,0,7.012017374,3,0
1987,10.8607111,0,1.200497651,18,25,22,2,0,8.703884563,3,0
1988,36.03292847,1,6.311300278,18,43,37,7,2,14.41317081,2,0
1989,7.236794472,0,2.279591322,17,29,29,0,0,5.4684554,3,0
1990,8.42076683,0,0,14,14,14,0,0,2.373482881,3,0
1991,12.29401016,0,0,15,15,15,1,0,4.768631659,3,0
1992,17.34655762,0,2.312846231,18,23,22,3,0,10.0060653,3,0
1993,5.971812248,0,1.667410374,17,24,24,0,0,5.518431206,3,0
1994,18.29030037,0,2.772225142,17,25,25,3,0,10.60305529,3,0
1995,14.33053684,0,4.529258728,17,30,30,2,0,8.654561996,2,0
1996,9.601348877,0,3.691667581,18,31,31,0,0,7.99391891,3,0
1997,17.80630112,0,2.557406855,18,24,23,3,0,7.712902794,3,0
1998,11.88563728,0,3.882024693,18,34,34,1,0,7.240640974,3,0
1999,7.588172436,0,3.359089112,18,33,32,0,0,6.110138588,3,0
2000,9.244527817,0,1.632044369,18,22,21,0,0,4.471382179,3,0
2001,22.27721024,0,3.147835875,18,27,27,2,1,7.933716173,3,0
2002,13.20055389,0,1.412760258,18,20,20,2,0,7.506676207,3,0
2003,13.46327591,0,2.638319683,18,30,30,1,0,8.39058773,3,0
2004,11.38166523,0,1.233710408,17,20,20,1,0,7.54299736,2,0
2005,12.36371231,0,2.042182064,18,29,26,3,0,10.01798771,3,0
2006,10.32127953,0,2.85524106,17,25,25,2,0,8.73007679,2,0
2007,20.17417526,0,3.719978213,18,27,27,4,1,10.57120541,3,0
2008,9.894303322,0,2.243105412,17,32,29,0,0,4.336466932,3,0
2009,19.40785789,0,0,16,16,16,5,0,12.74507187,3,0
2010,10.37677193,0,2.497991443,18,28,25,1,0,8.258625984,2,0
2011,17.4225769,0,0.26830821,18,18,16,2,0,6.21575717,3,0
2012,14.94703388,0,2.31328249,17,22,22,2,0,8.309982152,3,0
2013,21.65039444,0,1.396861827,18,21,20,1,1,5.922155218,3,0
2014,10.63259315,0,3.840155792,18,26,26,2,0,9.870756149,2,0
