Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,30.02718925,1,5.780002785,18,48,43,7,1,13.68664419,3,0
1984,12.2893858,0,2.382350528,18,46,35,1,0,7.712337761,3,0
1985,22.72085381,0,6.503222322,18,52,47,10,2,18.11691425,3,0
1986,23.81336975,0,5.009664059,18,46,44,9,2,15.50409573,3,0
1987,24.90249443,0,4.979648113,17,57,54,8,2,14.7683964,3,0
1988,28.33283615,0,6.406622887,18,68,64,10,1,15.64135321,3,0
1989,24.21346664,0,7.281953812,18,56,52,9,3,17.27632036,3,0
1990,17.04284286,0,4.33178699,18,50,45,4,0,10.75215345,3,0
1991,16.58476067,0,5.289418936,18,46,42,4,0,11.41668568,3,0
1992,18.22732162,0,4.459912443,18,45,44,6,0,13.85292024,3,0
1993,25.56105995,0,7.838268805,18,58,54,16,2,16.48601728,3,0
1994,28.21925354,0,7.363914347,18,47,47,14,2,16.56805693,3,0
1995,20.13323402,0,7.083193779,17,59,59,12,1,16.06320618,3,0
1996,29.73002815,0,7.577171898,18,43,43,9,1,18.4332559,3,0
1997,36.02260971,1,5.502876282,18,74,70,3,1,10.42448776,3,0
1998,24.14467812,0,7.326756763,18,55,55,11,1,14.82828428,3,0
1999,20.16868782,0,9.095850277,18,51,46,13,1,16.15526731,3,0
2000,24.01356888,0,6.383165359,17,47,47,9,1,13.92644031,3,0
2001,35.40758514,1,7.437136984,18,51,50,13,2,15.71064894,3,0
2002,29.07004547,0,4.991867065,16,39,39,5,1,11.45892544,3,0
2003,35.91516495,1,8.092804909,18,50,49,16,3,19.61613701,3,0
2004,9.671094894,0,4.098363638,18,49,49,0,0,7.958270922,3,0
2005,23.30070305,0,6.920444059,18,55,55,5,2,14.48054325,3,0
2006,15.47242165,0,6.450791597,18,53,47,9,0,13.73659781,3,0
2007,29.55014801,0,9.259197903,18,58,58,13,4,24.14698017,3,0
2008,14.19623375,0,5.876066589,18,68,65,5,0,12.53785133,1,0
2009,17.04288673,0,4.92754879,18,58,55,3,0,10.09837725,3,0
2010,16.14964485,0,7.021929646,18,63,57,7,0,14.02292034,3,0
2011,27.29760551,0,8.031916618,17,48,48,13,2,19.56411362,2,0
2012,16.69427299,0,7.933412361,18,65,64,16,0,15.71525383,2,0
2013,30.04967117,1,6.294098568,18,61,58,11,1,14.74496363,3,0
2014,19.81612778,0,8.284866142,18,72,67,10,0,15.86405493,3,0
