Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,18.6190815,0,4.184464264,18,39,34,4,0,10.14041138,2,0
1984,8.498773575,0,0.981339747,18,26,18,0,0,7.936973634,3,0
1985,13.18903255,0,4.756676102,18,47,40,5,0,10.92083168,2,0
1986,17.51503372,0,5.779629803,18,41,39,8,0,11.51555937,3,0
1987,18.60305786,0,3.625851297,18,47,44,2,0,8.060391521,3,0
1988,29.73119736,0,7.082683682,18,55,52,13,2,17.85240788,3,0
1989,22.69757652,0,4.879916954,18,46,44,6,1,10.82291401,3,0
1990,9.625946999,0,1.998636782,18,20,20,0,0,8.693020897,3,0
1991,11.9638319,0,2.959775281,18,27,27,3,0,9.419348965,3,0
1992,12.35485744,0,7.303171682,18,42,42,4,0,10.78862152,3,0
1993,13.45239544,0,4.815757465,18,54,54,1,0,7.91610877,3,0
1994,17.71893501,0,5.172337675,18,39,37,5,0,10.70654072,3,0
1995,18.6166687,0,6.818284035,17,44,44,4,0,11.88300503,3,0
1996,10.91979599,0,3.911557412,18,43,43,5,0,10.52605239,3,0
1997,14.68181515,0,5.603287983,18,51,50,7,0,13.06940071,3,0
1998,33.21770477,1,6.534023809,18,43,43,9,1,12.91110039,3,0
1999,29.66242409,0,8.440150833,18,53,52,8,1,18.16020634,3,0
2000,15.631814,0,4.468470097,18,51,48,6,0,12.20294249,3,0
2001,21.09962845,0,4.787919188,18,48,46,10,1,17.29524612,2,0
2002,16.96105957,0,6.783286333,18,35,34,8,0,12.95615379,3,0
2003,30.46785545,1,6.71804142,18,43,43,15,3,19.73749645,3,0
2004,19.11993027,0,3.83514626,18,42,41,1,0,9.167026815,3,0
2005,17.15770149,0,7.569188595,17,46,44,6,0,13.08316647,3,0
2006,34.37251663,1,4.91900115,18,35,32,6,4,20.00193596,2,0
2007,27.04831123,0,6.832194901,18,34,34,12,2,17.69531216,3,0
2008,16.20949936,0,4.210986066,18,46,40,3,0,8.230501933,3,0
2009,14.65836048,0,3.52080915,18,23,23,3,0,10.39899269,3,0
2010,18.4839325,0,5.50517211,18,41,41,8,0,14.00498024,3,0
2011,21.27596474,0,3.926424599,18,31,31,4,1,12.17110567,3,0
2012,19.54212379,0,7.088145423,18,48,46,11,0,16.25160323,3,0
2013,26.79713249,0,4.267221498,18,29,29,5,1,14.4057263,3,0
2014,18.90757561,0,4.510848761,18,60,56,4,0,11.97499342,3,0
