Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,32.71829224,3,16.75572586,18,106,102,42,10,29.24766464,3,0
1984,74.22190857,5,13.05433216,18,113,112,31,11,34.09647293,3,0
1985,42.84712219,3,13.6910284,18,135,127,39,6,27.83617882,3,0
1986,34.07649994,2,13.6493969,18,113,111,36,11,28.16737282,3,0
1987,47.140522,2,14.10236807,18,119,113,34,5,28.41638638,3,0
1988,61.98356628,4,18.78960533,18,104,102,41,12,30.97555275,3,0
1989,47.86619186,2,16.50318317,18,114,112,45,10,27.06720646,3,0
1990,26.28428268,0,15.77813711,18,118,116,41,11,24.36973858,3,0
1991,40.71810532,2,13.80014973,18,115,113,34,10,27.06013309,3,0
1992,54.33325195,1,15.939785,17,111,110,43,6,24.75310881,3,0
1993,31.1210289,1,16.31315842,18,118,116,42,8,24.04322815,2,0
1994,35.05485916,2,15.83737831,18,115,115,53,11,25.13487232,3,0
1995,37.05241013,1,14.26417713,18,127,127,42,10,27.13929676,3,0
1996,24.93352318,0,16.40599737,18,139,137,57,9,22.72830339,3,0
1997,31.47863579,1,16.50952435,18,125,124,47,11,26.58985752,3,0
1998,32.13057709,3,18.23337364,18,113,113,52,10,27.82886795,3,0
1999,32.19084167,3,16.08274593,18,122,118,54,9,27.6920356,3,0
2000,28.65590096,0,16.66532841,18,108,108,51,9,24.63987999,3,0
2001,44.99608994,2,18.0624361,18,115,115,48,11,26.28151428,3,0
2002,21.44521141,0,13.25052309,18,123,121,49,2,18.64179668,3,0
2003,30.56801224,1,16.69664555,18,128,128,60,8,26.75632431,3,0
2004,27.12488174,0,15.13860044,18,124,124,39,7,23.81906277,3,0
2005,25.17141533,0,15.26945925,18,112,112,37,7,23.42504997,3,0
2006,31.40174675,1,15.27866116,18,123,123,47,7,25.59059067,3,0
2007,31.55108261,1,17.8521843,18,134,131,43,6,22.93678268,3,0
2008,25.21773338,0,15.25253868,18,124,123,48,5,20.80369751,3,0
2009,29.48348236,0,13.92779636,17,131,130,52,8,26.98439629,3,0
2010,31.93688774,2,17.27368546,17,110,107,44,11,26.20903687,3,0
2011,35.01498795,2,15.25897989,18,112,110,41,6,24.25657421,3,0
2012,32.04679871,1,16.74021988,18,120,120,49,13,24.60524502,3,0
2013,31.66731262,1,14.46386957,18,122,122,39,5,21.27898121,3,0
2014,27.02181435,0,13.91484842,18,132,128,40,5,21.06501389,2,0
