Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,28.05558777,0,9.308942699,18,77,74,16,5,20.59794594,3,0
1984,28.16716194,0,8.280724907,18,60,58,9,2,14.77462264,3,0
1985,32.88175964,1,10.77361488,17,73,71,20,3,19.95111393,3,0
1986,37.12465668,1,12.31713581,18,64,64,25,6,23.99449627,3,0
1987,19.87742615,0,9.078326225,17,74,72,13,0,17.28862839,3,0
1988,31.19416237,1,11.07293062,18,80,78,27,2,18.50285181,3,0
1989,31.15178871,1,10.93262606,18,77,75,20,2,19.28744934,3,0
1990,20.64336777,0,9.419480324,17,58,58,17,1,13.75883423,3,0
1991,21.88295746,0,9.886929131,18,82,82,17,3,19.27642616,3,0
1992,24.65699577,0,12.29627852,18,84,83,24,5,22.7703455,3,0
1993,44.98294067,2,14.17231827,18,78,77,26,6,22.56834923,3,0
1994,27.39268684,0,11.5530735,18,83,83,26,5,21.14356167,3,0
1995,52.50453949,2,15.6802537,18,70,69,38,11,26.8294875,3,0
1996,27.90063095,0,10.04765887,18,76,76,18,2,15.91923573,3,0
1997,23.82483482,0,10.25104322,18,100,99,19,4,20.83051109,2,0
1998,27.10676384,0,14.25914335,18,73,73,32,4,20.97927952,3,0
1999,32.13682556,1,13.86089869,18,73,73,31,3,20.32668312,3,0
2000,29.04989624,0,12.22033119,18,70,69,27,5,24.12755316,3,0
2001,26.89543915,0,11.2413435,18,74,74,28,2,19.62973087,3,0
2002,25.88336563,0,13.13520575,18,65,64,23,3,21.25957226,3,0
2003,20.68723106,0,10.88665705,18,75,75,23,2,17.66775982,3,0
2004,17.95743752,0,7.437424302,18,74,74,11,0,13.974023,3,0
2005,28.91906548,0,10.7906496,18,74,74,20,1,17.47026924,3,0
2006,31.45361519,1,10.78587828,18,88,87,21,3,20.01817184,3,0
2007,30.93447685,2,15.09472694,18,81,80,30,9,27.90522957,2,0
2008,19.84518242,0,8.312541962,17,84,84,9,0,15.97171993,3,0
2009,18.8949852,0,8.61782589,18,60,60,14,0,14.66923323,3,0
2010,36.05435944,1,10.97503548,18,80,80,24,4,22.92352352,3,0
2011,27.77810478,0,11.40307245,18,75,75,21,2,18.26624912,3,0
2012,39.73212051,1,9.819954491,18,76,75,17,2,19.06348228,4,0
2013,29.36812782,0,9.970564175,18,76,76,18,3,21.08580475,3,0
2014,36.29124832,1,11.43528929,18,86,85,24,6,24.18367165,3,0
