Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,10.33800411,0,0,6,6,6,1,0,2.856289663,3,0
1984,4.130177021,0,0,8,8,4,0,0,2.033028902,3,0
1985,8.48724556,0,0,10,9,5,0,0,4.142239904,3,0
1986,6.858451366,0,0,10,10,9,0,0,5.325223331,3,0
1987,6.932116985,0,0,14,14,12,0,0,5.923106194,1,0
1988,27.91784286,0,3.180033803,18,29,27,9,3,19.39489836,3,0
1989,5.971219063,0,0,15,15,12,0,0,4.283691883,2,0
1990,5.654416561,0,0,5,5,4,0,0,4.04682694,3,0
1991,9.41138649,0,0,6,6,6,0,0,2.728287082,3,0
1992,17.81209946,0,0,15,15,12,2,0,7.692230368,3,0
1993,13.08969975,0,0,15,15,14,1,0,3.820345201,3,0
1994,17.96957397,0,0,15,15,14,3,0,7.994099483,3,0
1995,16.75034904,0,0,16,16,15,1,0,6.990279951,3,0
1996,10.70695972,0,0.647211666,18,19,16,1,0,6.248206873,3,0
1997,16.39442444,0,0,16,14,12,2,0,7.601137667,3,0
1998,8.702917099,0,1.728070438,18,24,24,0,0,5.113232994,3,0
1999,16.68951607,0,2.392007291,18,28,22,5,0,11.18364925,3,0
2000,4.789113998,0,0,10,10,9,0,0,3.800798233,3,0
2001,19.55152893,0,0,17,17,15,2,0,7.155675602,3,0
2002,13.71915722,0,0,9,9,9,1,0,4.907821131,3,0
2003,19.60102844,0,1.230881202,18,22,19,1,0,7.576230221,3,0
2004,7.663228035,0,0,14,14,13,0,0,5.540897903,3,0
2005,14.00987816,0,0,13,13,13,1,0,6.812896461,3,0
2006,9.857931137,0,0,16,16,16,0,0,5.114102983,3,0
2007,30.06954765,1,0,17,17,17,4,1,14.49127426,3,0
2008,9.099807739,0,0.203792334,17,19,16,0,0,5.269308352,3,0
2009,14.0286274,0,0,12,12,11,2,0,6.530837641,3,0
2010,13.54700375,0,0,17,17,13,2,0,6.578333044,3,0
2011,24.03801537,0,0,6,6,6,2,1,5.018383365,3,0
2012,13.67665482,0,0,15,15,15,4,0,10.0071516,2,0
2013,11.54044533,0,0,16,15,13,2,0,8.497948837,3,0
2014,10.64454937,0,0,17,17,11,2,0,7.339693279,3,0
