Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,11.35330391,0,0,16,16,7,1,0,3.276028562,3,0
1984,11.50531864,0,0,12,7,7,1,0,3.674102371,3,0
1985,13.75191975,0,0,17,17,13,1,0,5.210985794,3,0
1986,4.450065136,0,0,12,12,11,0,0,4.245188065,3,0
1987,6.471968651,0,0.310341415,18,23,12,0,0,5.755179348,3,0
1988,6.714753151,0,0,17,16,15,0,0,4.858189449,3,0
1989,18.24836731,0,0,9,9,8,2,0,4.620369425,3,0
1990,8.749178886,0,0,11,11,11,0,0,5.665532207,3,0
1991,17.85247803,0,0,13,13,12,1,0,4.513064175,3,0
1992,15.8450613,0,0,10,10,9,2,0,4.921133265,3,0
1993,9.415804863,0,0,13,13,9,0,0,4.527477617,3,0
1994,5.820207119,0,0.460196733,15,20,14,0,0,5.137625589,3,0
1995,12.66872215,0,0,15,15,15,1,0,4.582380934,3,0
1996,10.53731537,0,0,12,12,7,2,0,5.341616421,3,0
1997,6.092875481,0,0.603139043,18,24,16,0,0,4.652724924,3,0
1998,15.10234833,0,0.539151633,18,19,13,1,0,3.796839781,3,0
1999,16.09314156,0,0,13,13,13,2,0,5.588141937,3,0
2000,12.68796349,0,0,16,16,13,1,0,5.063375106,3,0
2001,10.97441387,0,0,14,14,9,1,0,3.798304973,3,0
2002,10.24162006,0,0,12,12,8,1,0,3.760584931,3,0
2003,6.691970825,0,0,9,9,8,0,0,3.952875581,3,0
2004,15.29042149,0,0,8,8,8,1,0,3.545759144,3,0
2005,7.765176773,0,0,16,16,7,0,0,3.639131331,3,0
2006,6.906509876,0,0,14,14,13,0,0,3.103271561,3,0
2007,10.53628445,0,0,7,7,5,1,0,2.791888623,3,0
2008,4.417431831,0,0,13,13,6,0,0,2.96665652,3,0
2009,6.111260891,0,0,6,6,5,0,0,3.969590526,3,0
2010,5.200841427,0,0,11,11,11,0,0,3.121901531,3,0
2011,5.222865582,0,0,10,10,7,0,0,3.566814203,3,0
2012,9.543169975,0,0,8,8,8,0,0,5.247735796,3,0
2013,10.08839893,0,0,16,15,14,1,0,5.503820372,3,0
2014,13.80823803,0,0.163263917,18,18,11,2,0,5.85604455,3,0
