Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,40.65877533,1,15.51155987,18,97,95,28,11,27.28734879,3,0
1984,44.09735107,6,12.25522423,17,105,102,27,7,38.55497116,3,0
1985,49.81996536,6,20.3969696,18,111,107,47,20,36.00088715,3,0
1986,33.39273453,1,14.33777409,18,97,95,29,5,23.679967,3,0
1987,61.680233,5,19.71607246,18,109,106,41,17,38.11379364,3,0
1988,40.78395081,2,15.20854397,18,127,124,48,8,25.80304106,3,0
1989,32.84150696,1,16.85073795,18,120,117,47,10,24.8077562,3,0
1990,31.78484154,2,14.18918915,18,115,113,40,6,27.29486053,3,0
1991,22.94203568,0,15.03178453,18,117,116,44,7,21.93214481,3,0
1992,34.83052826,3,12.89901395,18,126,120,40,7,27.84159861,3,0
1993,44.24106598,4,16.72107677,18,113,107,37,10,34.72450531,3,0
1994,28.88547897,0,12.33236752,18,121,119,36,2,18.21278473,3,0
1995,37.03760147,1,15.49805965,18,119,119,45,4,20.15630867,3,0
1996,60.84423447,2,18.51278305,18,130,126,44,13,28.46255615,3,0
1997,23.67032623,0,15.37951479,18,131,127,47,3,20.03391663,3,0
1998,26.33355522,0,15.96937227,18,113,112,41,6,22.76741764,3,0
1999,28.79227638,0,14.93494873,18,121,120,40,7,23.97122192,2,0
2000,31.39261246,1,15.0943893,18,103,101,48,8,24.17850863,3,0
2001,32.72162247,1,17.81958961,17,131,130,46,14,25.00059738,3,0
2002,29.08340836,0,12.59037199,18,112,109,27,4,22.59022629,3,0
2003,25.84740639,0,16.38907776,18,129,129,41,7,22.71520683,3,0
2004,22.58222008,0,7.726980686,17,125,120,8,1,15.40302589,3,0
2005,30.9525547,1,12.53439198,18,106,103,24,3,19.03333813,3,0
2006,31.59339523,1,13.51075068,18,123,123,27,5,25.21014206,3,0
2007,23.39201546,0,12.32291689,18,121,118,29,4,22.14327049,2,0
2008,14.9060955,0,7.745600939,18,118,113,8,0,11.14521475,3,0
2009,21.85906029,0,14.20932236,18,114,112,33,3,20.33703583,3,0
2010,25.61611557,0,13.74007559,18,129,124,47,5,23.07780079,3,0
2011,26.62231827,0,13.98807545,18,102,102,45,4,21.66216866,3,0
2012,27.27973747,0,16.50093694,18,124,123,47,6,21.80052185,3,0
2013,28.09239388,0,15.36625423,18,118,117,46,3,21.76924412,3,0
2014,22.48980904,0,13.04291744,18,137,136,35,3,20.03011387,3,0
