Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.649999976,0,0,3,1,0,0,0,0.0034,3,0
1984,0,0,0,0,0,0,0,0,0,0,0
1985,0,0,0,0,0,0,0,0,0,0,0
1986,0,0,0,0,0,0,0,0,0,0,0
1987,0.100000001,0,0,2,1,0,0,0,0,2,0
1988,1.929999948,0,0,4,2,1,0,0,0.0166,3,0
1989,0.079999998,0,0,3,0,0,0,0,0.0034,3,0
1990,0,0,0,0,0,0,0,0,0,0,0
1991,0.829999983,0,0,8,2,0,0,0,0.0302,3,0
1992,2.859999895,0,0.0065,18,6,1,0,0,0.186200001,3,0
1993,1.710000038,0,0,17,9,5,0,0,1.194399974,3,0
1994,5.199999809,0,0.056999999,18,14,4,0,0,2.162400019,3,0
1995,2.589999914,0,0,13,7,2,0,0,0.552199992,3,0
1996,1.139999986,0,0,8,4,1,0,0,0.719199989,3,0
1997,1.24000001,0,0,13,7,1,0,0,0.701199988,3,0
1998,0.059999999,0,0,6,0,0,0,0,0.0134,3,0
1999,1.049999952,0,0,17,3,1,0,0,0.093599998,3,0
2000,0.039999999,0,0,11,0,0,0,0,0.023299999,3,0
2001,0.680000007,0,0.01,17,8,0,0,0,0.469999999,2,0
2002,1.480000019,0,0,15,12,1,0,0,0.617000008,3,0
2003,6.079999924,0,0.173000002,18,20,1,0,0,0.843399991,3,0
2004,1.730000019,0,0,8,6,2,0,0,0.565299996,3,0
2005,3.539999962,0,0.017,18,13,3,0,0,0.982600019,3,0
2006,1.360000014,0,0.01,16,12,1,0,0,0.757000014,3,0
2007,3.299999952,0,0.01,15,10,5,0,0,1.415399964,3,0
2008,0.330000013,0,0,11,2,0,0,0,0.063299999,3,0
2009,0.079999998,0,0,5,0,0,0,0,0.0434,3,0
2010,14.39999962,0,0,13,6,2,1,0,0.697400011,3,0
2011,1.179999948,0,0,3,2,1,0,0,0.0034,3,0
2012,0.050000001,0,0,2,0,0,0,0,0,2,0
2013,21.98999977,0,0,10,6,2,1,1,0.565599999,3,0
2014,6.360000134,0,0.01,16,11,4,0,0,1.692599983,3,0
