Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.479999989,0,0,3,2,0,0,0,0.0034,3,0
1984,2.109999895,0,0,7,3,1,0,0,0.169000002,3,0
1985,3.839999914,0,0,3,2,1,0,0,0.0034,3,0
1986,5.340000153,0,0,2,2,2,0,0,0,2,0
1987,13.77999973,0,0,10,6,4,1,0,1.35660002,3,0
1988,24.65999985,0,0,13,9,6,2,1,4.599100223,3,0
1989,10.86999989,0,0,10,5,2,1,0,0.5854,3,0
1990,0.01,0,0,1,0,0,0,0,0,1,0
1991,0.660000026,0,0,5,3,0,0,0,0.186400003,3,0
1992,6.650000095,0,0,8,5,3,0,0,0.890600022,3,0
1993,3.49000001,0,0,4,3,2,0,0,0.071199999,3,0
1994,27.30999947,0,0.082999999,18,18,8,2,1,3.813999944,3,0
1995,1.029999971,0,0,2,1,1,0,0,0,2,0
1996,0.469999999,0,0,6,3,0,0,0,0.079599998,3,0
1997,0.560000002,0,0,3,3,0,0,0,0.139399999,3,0
1998,1.600000024,0,0,7,2,1,0,0,0.0302,3,0
1999,0.610000014,0,0,15,3,0,0,0,0.188999996,3,0
2000,0.189999998,0,0,3,1,0,0,0,0.0033,3,0
2001,0.109999999,0,0,2,1,0,0,0,0,2,0
2002,11.51000023,0,0,3,3,2,1,0,0.098599997,3,0
2003,0.769999981,0,0,5,3,0,0,0,0.096800002,3,0
2004,2.819999933,0,0,3,3,2,0,0,0.254099994,3,0
2005,3.059999943,0,0,11,6,3,0,0,1.109799984,3,0
2006,0.660000026,0,0,8,4,0,0,0,0.332800003,3,0
2007,8.079999924,0,0,14,8,6,0,0,4.066799941,3,0
2008,12.26000023,0,0,6,5,3,1,0,1.105400017,3,0
2009,0.25,0,0,4,1,0,0,0,0.0134,3,0
2010,16.38999939,0,0,8,6,2,1,0,0.277999994,3,0
2011,0.119999997,0,0,1,1,0,0,0,0,1,0
2012,2.369999886,0,0,5,3,2,0,0,0.096400002,3,0
2013,1.5,0,0,5,2,1,0,0,0.026999999,3,0
2014,4.46999979,0,0,12,9,7,0,0,1.661400011,3,0
