Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7.440000057,0,0.036999999,18,15,7,0,0,4.326600018,3,0
1984,8.340000153,0,0,15,7,5,0,0,2.829100003,3,0
1985,15.22999954,0,0.138000004,18,19,12,2,0,6.752800093,3,0
1986,13.85000038,0,0.388999999,18,23,12,2,0,8.93879982,3,0
1987,31.43000031,1,0.203000003,18,21,12,2,1,5.430000153,3,0
1988,14.40999985,0,1.940000057,17,53,28,1,0,7.27530005,3,0
1989,20.95000076,0,1.879000008,18,52,27,2,1,6.137800121,3,0
1990,15.40999985,0,0.615000015,18,38,13,2,0,7.262999992,3,0
1991,26.72999954,0,2.882000041,18,40,27,2,1,8.947199974,3,0
1992,22.70000076,0,2.475500095,18,49,26,4,1,11.23709977,3,0
1993,26.77000046,0,2.998000002,18,53,25,5,2,13.51199968,3,0
1994,40.97000122,3,2.520000076,18,60,29,7,3,22.91000076,3,0
1995,26.34000015,0,4.306999874,18,59,32,7,4,20.7771999,3,0
1996,22.12000084,0,3.115500045,18,56,35,7,1,14.77490029,3,0
1997,18.30999947,0,3.427999926,18,49,26,4,0,14.4028001,3,0
1998,49.18000031,4,4.201999807,18,64,41,13,7,32.5347995,3,0
1999,37.22999954,3,6.354000092,18,57,45,10,6,30.02339928,3,0
2000,65.40000153,2,2.179000068,18,46,28,9,5,22.84049974,3,0
2001,37.06000137,1,1.597000027,18,38,21,4,3,16.24459944,3,0
2002,27.38999939,0,2.01000005,18,49,21,5,2,15.36079966,3,0
2003,32.84000015,2,3.871000051,18,53,30,8,7,25.77699966,3,0
2004,46.15999985,2,1.780500001,18,39,21,6,3,18.48320007,3,0
2005,42.88000107,3,3.58399992,18,45,26,7,5,31.85039944,3,0
2006,68.06999969,3,3.33100009,18,55,30,7,4,26.13060097,3,0
2007,48.16999817,1,4.153000021,18,43,33,8,3,19.86340008,3,0
2008,31.35000038,1,2.397500014,18,40,24,6,3,22.39590015,3,0
2009,33.41999817,1,1.714999998,18,31,22,7,1,17.46779964,3,0
2010,26.45000076,0,3.751999998,18,50,32,9,3,18.19139977,3,0
2011,65.58999634,2,1.838,18,38,22,7,4,26.12639957,3,0
2012,33.79999924,2,3.456499958,18,46,26,9,2,16.60570013,3,0
2013,39.15000153,1,1.905000019,18,42,21,5,2,14.48880028,3,0
2014,20.72999954,0,3.395999956,18,55,27,3,1,10.92579977,3,0
