Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,43.68999863,3,4.133999872,18,62,37,8,4,28.83659939,3,0
1984,6.739999771,0,2.592999911,18,68,39,0,0,5.623099961,3,0
1985,27.79999924,0,4.373999977,18,78,49,8,3,19.1626001,3,0
1986,59.86999893,1,5.271999979,18,74,53,6,2,16.01500031,3,0
1987,83.30000305,4,6.782000065,18,74,51,10,5,37.55279953,3,0
1988,43.04999924,3,11.22450042,18,78,60,22,8,27.84000053,3,0
1989,35.63999939,3,7.909000015,18,76,62,15,4,27.0077998,3,0
1990,30.55999947,1,3.715000033,18,65,38,11,2,17.51879967,3,0
1991,21.54000092,0,6.242000103,18,82,51,9,1,15.61779997,3,0
1992,17.29999924,0,5.545499873,18,81,51,10,0,14.43190014,3,0
1993,18.29000092,0,7.431999922,18,92,60,8,0,13.67420008,3,0
1994,27.11000061,0,7.983000183,18,85,53,12,5,21.36400005,3,0
1995,30.34000015,1,11.98899984,18,100,71,22,6,22.73100018,3,0
1996,22.61000061,0,4.126000035,18,71,44,6,2,14.27650029,3,0
1997,23.80999947,0,6.099000168,18,80,53,6,2,13.74700033,3,0
1998,104.1800003,6,16.26600037,18,71,51,30,13,40.1553994,3,0
1999,92.09999847,3,5.542000008,18,60,40,12,5,36.34659969,3,0
2000,70.79000092,1,3.659000003,18,60,34,9,2,16.25460038,3,0
2001,30.68000031,1,7.106999969,18,68,47,13,5,23.29860043,3,0
2002,28.07999992,0,7.264999771,18,66,49,15,6,27.50100063,3,0
2003,44.95999908,1,7.930999994,18,79,57,9,4,21.37599941,3,0
2004,28.19000053,0,7.253499985,18,56,44,15,4,20.70509972,3,0
2005,38.31000137,2,7.647000122,18,71,52,12,6,27.60739983,3,0
2006,42.66999817,1,6.982000065,18,69,42,14,3,20.01640011,3,0
2007,28.37999916,0,5.717000055,18,63,48,12,4,20.66240047,3,0
2008,44.70999908,3,7.895500088,18,69,48,16,7,27.90809975,3,0
2009,27.95000076,0,6.714999962,18,64,39,10,5,23.24639977,3,0
2010,21.64999962,0,7.938000059,18,65,48,11,1,18.69980053,3,0
2011,34.70999908,1,7.918000078,18,58,39,10,4,21.26719921,3,0
2012,51.52000046,2,10.47450018,18,77,57,19,8,26.57200064,3,0
2013,33.06999969,2,5.547999954,18,68,43,7,3,19.71240051,3,0
2014,23.31999969,0,7.165000105,18,69,47,14,2,17.13900028,3,0
