Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,21.51000023,0,0.883999991,18,26,17,4,1,12.17339962,3,0
1984,14.47000027,0,0.446499991,18,25,10,1,0,5.560400019,3,0
1985,38.63000107,1,1.320000052,17,31,20,4,1,13.83960016,3,0
1986,16.69000053,0,1.631000006,18,33,21,2,0,8.966600113,3,0
1987,16.52000046,0,1.766999984,18,29,23,5,0,12.74880009,3,0
1988,20.97999954,0,2.903999984,18,35,21,7,1,13.50989999,3,0
1989,35.13000107,1,1.303000033,18,42,19,6,2,13.66740028,3,0
1990,14.5,0,1.320000052,17,28,19,2,0,7.772400064,3,0
1991,17.32999992,0,2.683999991,18,57,27,3,0,10.70379974,3,0
1992,21.19000053,0,2.699000049,18,74,31,4,1,12.61949987,3,0
1993,44.75,1,4.141999865,18,88,42,9,2,16.54479965,3,0
1994,59.59999847,1,4.920000076,17,81,43,4,1,14.84220018,3,0
1995,25.18000031,0,6.72300005,18,80,46,8,2,17.25780025,3,0
1996,23.25,0,4.236499858,18,86,56,7,1,16.94040005,3,0
1997,36.5,2,7.513999987,18,85,51,11,4,24.5525996,3,0
1998,23.01000023,0,3.671000004,18,71,35,6,1,16.5552005,3,0
1999,86.62999725,1,2.007000053,18,52,22,3,1,9.765800152,3,0
2000,13.10999966,0,2.261000061,18,78,35,2,0,8.416899757,3,0
2001,32.36999893,1,3.080999923,18,90,39,6,2,16.94600016,3,0
2002,61.72999954,1,5.936000061,18,80,50,11,3,21.61460026,3,0
2003,78.69000244,3,5.166999865,18,80,43,13,7,30.56059975,3,0
2004,61.86000061,3,4.500999999,18,78,43,9,5,37.0534004,3,0
2005,75.70999908,3,5.192000055,18,89,41,11,6,29.07499924,3,0
2006,39.25,4,11.56299992,18,110,61,18,9,33.49079941,3,0
2007,30.34000015,2,3.522999907,18,70,42,12,3,18.88939949,3,0
2008,39.47000122,1,2.396500099,18,70,27,4,2,12.01829988,3,0
2009,24.39999962,0,2.766999984,18,63,32,3,1,10.41059986,3,0
2010,43.65000153,1,2.421000075,18,63,30,6,2,15.07039995,3,0
2011,29.76000023,0,6.391999865,18,70,43,10,3,16.32100039,3,0
2012,23.70999908,0,5.489999914,18,60,38,8,5,20.67090015,3,0
2013,36.00999832,1,2.487000012,18,72,32,7,3,17.11940008,3,0
2014,53.45999908,1,6.69399991,18,77,44,12,4,22.69120064,3,0
