Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,134.8999939,3,15.85599966,18,171,117,27,10,31.8409996,3,0
1984,48.36000061,2,10.30100002,18,145,83,20,6,25.32629936,3,0
1985,29.31999969,0,10.2500001,18,150,87,18,5,23.6595998,3,0
1986,53.43999863,1,8.263999748,18,152,88,14,5,24.17100033,3,0
1987,49.84999847,4,11.10899982,18,165,97,19,10,31.93140026,3,0
1988,69.13999939,2,11.27650037,18,134,86,24,7,25.89069946,3,0
1989,81.55000305,5,10.37100039,18,132,79,18,8,37.23059868,3,0
1990,75.95999908,7,13.11700039,18,116,67,23,13,51.98799919,3,0
1991,54.40000153,2,13.72599974,18,131,74,24,8,28.07920048,3,0
1992,104.0800018,5,11.91650014,18,129,84,23,8,41.53950108,3,0
1993,35.86999893,1,8.371999979,18,132,77,15,3,19.77520039,3,0
1994,46.20000076,6,14.85200033,18,130,87,25,12,41.73719971,3,0
1995,43.22000122,3,17.07599964,18,142,101,32,16,29.91319946,3,0
1996,102.7200012,5,18.69299965,18,143,106,37,16,32.72959953,3,0
1997,85.26999664,7,14.03500023,18,143,97,24,10,42.7655999,3,0
1998,32.52999878,1,11.32800016,18,130,91,23,4,23.11420006,3,0
1999,84.91999817,5,13.64499969,18,123,79,23,9,44.0957991,3,0
2000,33.13999939,2,13.77850027,18,114,71,22,8,26.97970081,3,0
2001,60.72999954,4,13.31999979,18,121,88,27,10,32.10600014,3,0
2002,59.11999893,4,8.520000076,18,114,67,16,9,31.74760082,3,0
2003,66.20999908,3,11.95099983,18,126,81,23,7,32.03240051,3,0
2004,43.88000107,5,10.14599986,18,120,75,19,9,39.85640118,3,0
2005,73.63999939,6,14.41500006,18,122,83,26,11,45.39079964,3,0
2006,54.31000137,5,13.92599993,18,124,84,27,11,33.37580147,3,0
2007,57.61999893,4,14.7380002,18,136,102,32,11,41.07159966,3,0
2008,51.38999939,4,14.97650018,18,117,78,30,11,32.85630005,3,0
2009,41.63999939,4,13.06200037,18,113,73,25,8,35.37960007,3,0
2010,44.50999832,4,14.03700008,18,124,76,24,9,34.00520092,3,0
2011,64.56999969,2,10.5079998,18,115,69,18,8,28.14300003,3,0
2012,49.70999908,4,13.74400001,18,118,80,22,9,36.76759964,3,0
2013,38.5,5,13.78199968,18,120,74,25,10,30.85660046,3,0
2014,63.40000153,6,18.71899967,18,131,85,31,17,37.24800049,3,0
