Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,36.41999817,1,0.823999995,18,49,16,5,1,13.84639977,3,0
1984,13.42000008,0,0.176500005,18,31,6,1,0,3.089499993,3,0
1985,9.31000042,0,0.902999997,18,52,16,0,0,4.207199969,3,0
1986,16.59000015,0,0.77099998,18,45,16,2,0,7.999199848,3,0
1987,35.29999924,1,1.357000029,18,60,20,1,1,5.426600075,3,0
1988,39.63999939,2,1.734999967,18,65,24,5,3,15.80009977,3,0
1989,10.51000023,0,1.439000022,18,53,26,1,0,7.234399948,3,0
1990,8.170000076,0,0.322000003,18,31,11,0,0,3.215000114,3,0
1991,4.989999771,0,0.655000013,18,39,14,0,0,3.024600058,3,0
1992,49.08000183,2,2.445000052,18,52,27,3,2,10.2794998,3,0
1993,35.25999832,1,2.461999965,18,41,26,4,1,11.27799974,3,0
1994,51.86999893,1,2.992000031,18,64,31,5,1,16.42200026,3,0
1995,95.31999969,2,4.620000124,18,51,33,8,3,19.92499939,3,0
1996,64.97000122,2,4.555500031,18,49,28,8,3,17.42920061,3,0
1997,11.28999996,0,2.504999924,18,50,35,2,0,8.918800163,3,0
1998,23.75,0,2.398000026,18,63,33,3,1,10.72960012,3,0
1999,8.449999809,0,0.548999995,18,30,12,0,0,3.000799928,3,0
2000,57.13999939,1,1.794500035,18,56,27,3,1,9.107800369,3,0
2001,30.29000092,1,1.808000028,18,93,34,2,1,5.920199862,3,0
2002,32.38000107,2,1.907999969,18,49,22,5,3,18.95119987,3,0
2003,82.75,1,6.56699996,18,72,42,13,3,20.43699963,3,0
2004,27.56999969,0,2.97750001,18,53,30,9,3,17.94240036,3,0
2005,48.18000031,2,8.928999996,18,87,49,16,4,23.28060032,3,0
2006,48.02999878,2,4.218000031,18,94,41,7,2,18.89739994,3,0
2007,37.24000168,1,3.680999994,18,56,30,7,1,12.7106002,3,0
2008,31.85000038,1,2.088999915,18,66,29,5,1,11.56959977,3,0
2009,27.25,0,1.24399997,18,43,19,3,1,9.681199913,3,0
2010,27.77000046,0,4.051000142,18,52,36,2,1,9.640200024,3,0
2011,22,0,1.48900001,18,33,22,3,1,8.993600254,3,0
2012,18.04999924,0,1.242500007,18,37,21,2,0,8.418500395,3,0
2013,39.00999832,1,0.800000012,19,40,15,3,1,7.067400064,3,0
2014,22.68000031,0,5.613999987,18,54,40,9,3,19.81300003,3,0
