Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,169.8999939,11,20.30199966,18,175,119,38,19,91.50499878,3,0
1984,51.54000092,2,16.55750008,18,172,114,30,12,28.73639914,3,0
1985,108.4700012,9,19.42599983,18,175,128,38,17,38.45820076,3,0
1986,125.8499985,8,13.78599987,18,167,125,32,8,94.53140305,3,0
1987,85.95999908,10,19.5869997,18,171,129,47,17,66.1321994,3,0
1988,34.02999878,3,14.81700001,18,137,97,33,8,28.93470005,3,0
1989,53.43999863,7,17.39399929,18,157,111,30,15,45.46760117,3,0
1990,66.06999969,4,16.09299974,18,143,102,31,11,31.20359974,3,0
1991,93.02999878,6,18.3739996,18,152,115,41,13,39.82100037,3,0
1992,50.06999969,4,14.47700009,18,163,116,33,10,33.32169872,3,0
1993,89.54000092,4,15.05699997,18,161,113,27,13,40.06740036,3,0
1994,44.77000046,3,17.41100006,18,137,96,32,13,30.07499996,3,0
1995,48.54999924,6,14.03199987,18,150,109,29,8,37.03620087,3,0
1996,57.45000076,9,16.52049999,18,155,110,39,12,37.52190147,3,0
1997,66.56999969,5,17.38099976,18,144,102,34,13,39.96019958,3,0
1998,95.80999756,5,16.95199986,18,127,103,33,10,38.53199944,3,0
1999,64.66999817,4,12.2159997,18,134,101,20,9,40.72740143,3,0
2000,56.63999939,3,13.57650032,18,132,94,26,13,30.2006002,3,0
2001,34.70000076,3,14.7739996,18,125,99,24,10,28.85120064,3,0
2002,51,8,19.78199921,18,127,98,35,18,34.99140152,3,0
2003,58.93999863,15,26.44100037,18,140,118,42,22,43.00759888,3,0
2004,55.93000031,9,18.82849998,18,140,98,36,14,41.45159924,3,0
2005,53.75999832,11,19.91200027,18,138,96,41,18,43.47959938,3,0
2006,43.86999893,7,17.94399948,18,138,102,36,14,34.84380127,3,0
2007,57.97999954,6,21.14399986,18,141,107,39,20,42.64219925,3,0
2008,51.06999969,8,18.83600006,18,146,103,40,15,43.24040112,3,0
2009,89.09999847,4,20.59699955,18,130,100,37,18,41.6141996,3,0
2010,37.04999924,1,15.68699989,18,147,104,30,10,28.47380066,3,0
2011,45.79000092,6,18.1050005,18,131,92,37,15,36.13980019,3,0
2012,57.45000076,4,15.34199991,18,134,96,36,11,33.86369949,3,0
2013,57.02000046,3,16.58899956,18,127,99,35,15,28.91580017,3,0
2014,39.13000107,5,16.15099945,18,164,113,37,10,33.17880112,3,0
