Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,6.579999924,0,0.007,18,8,4,0,0,1.165999963,3,0
1984,0.25,0,0,2,1,0,0,0,0,2,0
1985,1.220000029,0,0,11,4,1,0,0,0.315399989,3,0
1986,0.720000029,0,0.007,18,8,0,0,0,0.360199994,3,0
1987,2.440000057,0,0,13,9,4,0,0,1.170599997,3,0
1988,90.30999756,1,0.01,17,14,9,5,3,18.12349995,3,0
1989,2.579999924,0,0.047,18,14,2,0,0,0.586799997,3,0
1990,0.600000024,0,0,3,2,0,0,0,0.0034,3,0
1991,10.39000034,0,0,11,7,3,1,0,0.898199979,3,0
1992,5.480000019,0,0.01,17,15,5,0,0,3.558800023,3,0
1993,9.199999809,0,0.445000008,18,24,13,0,0,5.770999994,3,0
1994,5.710000038,0,0.409000009,18,23,11,0,0,3.974600034,3,0
1995,20.84000015,0,0.310999995,18,25,15,3,2,11.67199989,3,0
1996,14.55000019,0,0.82299999,18,31,13,2,0,7.675400062,3,0
1997,9.449999809,0,0.122,18,18,7,0,0,3.508000002,3,0
1998,2.75,0,0,17,11,5,0,0,1.450000048,2,0
1999,2.529999971,0,0,9,3,1,0,0,0.086799999,3,0
2000,5.75,0,0.029999999,17,12,4,0,0,1.422400033,3,0
2001,10.42000008,0,0.571999973,18,33,14,1,0,6.024600058,3,0
2002,11.82999992,0,0.544,18,27,13,1,0,6.280599976,3,0
2003,12.67000008,0,1.561000025,18,43,22,2,0,6.242399855,3,0
2004,10.72999954,0,0.302499999,18,21,12,1,0,5.551699948,3,0
2005,6.880000114,0,0.246000007,18,25,12,0,0,5.873399963,3,0
2006,12.47000027,0,0.236999997,18,34,13,2,0,6.893399944,3,0
2007,20.73999977,0,0.174999999,18,21,11,1,1,5.474000025,3,0
2008,4.71999979,0,0.0065,18,12,2,0,0,0.639800006,3,0
2009,20.70999908,0,0,17,10,6,1,1,4.453600044,3,0
2010,11.78999996,0,0.059999999,17,16,6,1,0,2.942199984,3,0
2011,0.709999979,0,0,17,5,0,0,0,0.523399978,3,0
2012,18,0,0.01,14,11,5,2,0,2.445399971,3,0
2013,2.069999933,0,0,17,9,1,0,0,0.883600012,3,0
2014,9.010000229,0,0.007,18,11,9,0,0,8.040399885,3,0
