Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,1.440000057,0,0.056999999,18,13,2,0,0,0.688000001,3,0
1984,0.360000014,0,0.02,17,4,0,0,0,0.1066,3,0
1985,1.039999962,0,0.110999999,18,18,1,0,0,0.546999975,3,0
1986,0.810000002,0,0.144000003,18,22,0,0,0,0.313999999,3,0
1987,1.559999943,0,0.219999999,17,29,3,0,0,1.027200015,3,0
1988,36.65999985,2,0.230000004,17,25,8,4,4,23.05509977,3,0
1989,8.630000114,0,0.056999999,18,14,2,0,0,0.396799989,3,0
1990,2.650000095,0,0.01,16,7,1,0,0,0.268600004,3,0
1991,4.139999866,0,0.039999999,16,11,5,0,0,1.554200032,3,0
1992,36.31000137,1,0.050000001,17,12,3,2,2,0.8308,3,0
1993,4.170000076,0,0,17,9,2,0,0,0.76019999,3,0
1994,35.43000031,1,0.386999989,18,31,9,1,1,5.127199965,3,0
1995,5.5,0,0.033999999,18,11,2,0,0,0.591399994,3,0
1996,7.369999886,0,0.01,17,13,5,0,0,1.238800009,3,0
1997,1.100000024,0,0.02,14,7,1,0,0,0.284199998,3,0
1998,1.629999995,0,0.029999999,17,15,1,0,0,0.320400013,3,0
1999,0.200000003,0,0,16,2,0,0,0,0.090000004,2,0
2000,1.070000052,0,0.039999999,17,13,1,0,0,0.479899999,3,0
2001,3.529999971,0,0.794999999,18,38,15,0,0,2.934599905,3,0
2002,9.869999886,0,0.209999993,17,26,12,0,0,3.411800013,3,0
2003,18.28000069,0,0.882999998,18,48,17,1,0,4.323400011,3,0
2004,22.90999985,0,0.07,17,14,8,1,1,3.737799931,3,0
2005,13.65999985,0,0.654000014,18,37,11,1,0,2.872800045,3,0
2006,24.32999992,0,0.788000011,18,40,16,1,1,5.498400087,3,0
2007,4.940000057,0,0.208000001,18,22,5,0,0,2.147000031,3,0
2008,2.650000095,0,0.039999999,16,10,2,0,0,0.635800009,3,0
2009,18.37000084,0,0.084000003,18,17,2,1,0,0.675199994,3,0
2010,2.349999905,0,0.073999998,18,16,4,0,0,1.92779999,3,0
2011,1.799999952,0,0.02,17,14,4,0,0,1.056799986,3,0
2012,7.900000095,0,0.026499999,18,14,8,0,0,2.07000001,3,0
2013,2.74000001,0,0.036999999,18,10,1,0,0,0.59400001,3,0
2014,19.07999992,0,0.264000008,18,24,8,2,0,3.196799974,3,0
