Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,34.52000046,1,12.88700027,18,101,69,23,7,26.29979958,3,0
1984,46.65000153,4,10.68100014,18,103,67,20,7,36.72650143,3,0
1985,90.47000122,7,16.96800022,18,86,68,31,12,36.03920013,3,0
1986,32.93000031,2,14.14499998,18,83,62,23,8,25.55240036,3,0
1987,67.66999817,8,18.09499969,18,92,69,27,14,41.29000092,2,0
1988,39.20000076,2,12.19899988,18,126,81,26,4,22.02960012,3,0
1989,46.56000137,3,15.37800035,18,135,107,39,9,28.69840012,3,0
1990,37.54000092,1,13.62500019,18,141,100,30,7,25.2963995,3,0
1991,46.99000168,2,15.01900005,18,140,108,29,13,27.30359997,3,0
1992,34.06000137,1,16.64900031,18,148,106,30,13,25.40969921,3,0
1993,42.38000107,4,14.4869997,18,139,99,31,11,35.19740059,3,0
1994,30.12999916,1,12.75800009,18,127,90,23,6,21.37759972,3,0
1995,68.34999847,5,14.81400013,18,141,111,32,11,31.69239975,3,0
1996,49.88000107,2,13.94499989,18,155,122,33,6,23.81020025,3,0
1997,64.80999756,6,15.43099976,18,142,111,31,12,32.88540092,3,0
1998,37.16999817,1,14.204,18,127,101,29,8,24.75420033,3,0
1999,49.47000122,2,9.773999882,18,100,71,17,7,26.42539944,3,0
2000,39.31000137,3,12.64099984,18,117,86,23,5,29.59170038,3,0
2001,82.61000061,2,16.59799938,18,132,89,25,12,26.87840038,3,0
2002,58.84000015,5,13.88399992,18,125,85,27,9,37.57320091,3,0
2003,48.70999908,2,13.09700003,18,130,102,25,6,23.84820007,3,0
2004,125.3399963,3,12.98250031,18,136,100,25,10,27.6839002,3,0
2005,91.44000244,6,16.99700012,18,129,93,35,13,40.34279945,3,0
2006,127.5599976,8,21.78000011,18,140,108,39,21,45.34639961,3,0
2007,62.43000031,1,11.80100012,18,128,90,23,7,22.7013995,3,0
2008,43.31000137,4,17.56249962,18,139,102,36,12,32.41539919,3,0
2009,33.06999969,3,12.97800035,18,119,93,23,8,28.84839985,3,0
2010,57.90000153,2,17.86899986,18,144,96,28,13,29.69840069,3,0
2011,44.74000168,1,15.86199951,18,116,76,23,13,28.00959999,3,0
2012,30.75,1,12.25349998,18,132,97,27,7,24.54429995,3,0
2013,44.02999878,2,17.1949995,18,130,95,30,10,27.56400017,3,0
2014,42.20999908,3,13.87500029,18,140,104,30,6,28.16499989,3,0
