Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3.00999999,0,0,15,15,4,0,0,1.3452,3,9
1984,0.779999971,0,0,2,2,0,0,0,0.168000001,2,126
1985,1.070000052,0,0,13,13,1,0,0,0.655300003,3,18
1986,1.850000024,0,0.219999999,15,17,2,0,0,0.905699998,3,38
1987,5.039999962,0,0.227500003,17,25,6,0,0,1.150999975,3,20
1988,11.84000015,0,0.467500006,16,25,12,1,0,3.49919986,3,29
1989,1.389999986,0,0.184500003,16,19,4,0,0,1.217299994,3,34
1990,1.049999952,0,0,6,6,1,0,0,0.634799995,3,33
1991,4.300000191,0,0.208999994,18,22,5,0,0,1.437799987,3,4
1992,5.440000057,0,0.265000001,16,22,6,0,0,2.644000053,3,36
1993,2.309999943,0,0.239999995,15,19,4,0,0,1.069500011,3,30
1994,8.840000153,0,0.26800001,18,23,5,0,0,3.490799928,3,3
1995,5.059999943,0,0.170000002,17,22,7,0,0,1.636800032,3,1
1996,0.5,0,0,16,16,0,0,0,0.426999991,3,1
1997,3.299999952,0,0.406999999,18,26,5,0,0,2.136400032,3,0
1998,0.899999976,0,0.111999997,18,18,0,0,0,0.82360001,3,0
1999,6.050000191,0,0.492999984,18,31,9,0,0,3.419200041,3,2
2000,3.099999905,0,0,11,11,5,0,0,2.181299984,3,0
2001,1.049999952,0,0,4,4,1,0,0,0.340999994,3,0
2002,1.679999948,0,0,11,11,3,0,0,1.061199982,3,0
2003,3.049999952,0,0,6,6,1,0,0,0.226799997,3,0
2004,6.760000229,0,0,4,4,1,0,0,0.1666,3,0
2005,2.970000029,0,0.156999999,18,19,5,0,0,1.170399997,3,0
2006,5.449999809,0,0.197000001,18,23,3,0,0,0.9186,3,0
2007,14.39999962,0,0.301000011,17,26,8,1,0,2.49099997,3,7
2008,1.049999952,0,0,17,17,1,0,0,0.49000001,2,4
2009,11.38000011,0,0,14,14,6,1,0,5.174999928,3,0
2010,19.70000076,0,0.269999992,18,22,9,1,0,2.100999987,3,0
2011,2.380000114,0,0,8,8,1,0,0,0.635000011,3,0
2012,0.980000019,0,0,8,8,0,0,0,0.594799974,3,2
2013,14.48999977,0,0.206999996,18,34,7,1,0,2.194600058,3,0
2014,5.510000229,0,0.267500006,18,46,7,0,0,3.133999956,3,0
