Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20.62000084,0,8.217999649,17,137,98,11,1,17.76680046,3,9
1984,18.42000008,0,6.75,11,59,43,1,0,9.243999672,2,126
1985,19.71999931,0,7.4125,17,148,99,10,0,16.64639995,3,18
1986,27.12999916,0,9.19550004,16,118,83,15,3,24.1935997,3,38
1987,23.15999985,0,10.93499994,17,141,106,18,3,19.98350019,3,20
1988,22.59000015,0,12.08199992,16,147,105,28,2,19.5903998,3,29
1989,25.05999947,0,12.62550044,16,164,116,23,4,21.69580032,3,34
1990,29.13999939,0,9.789999771,16,140,98,16,1,16.62840034,3,33
1991,26.28000069,0,9.79500041,18,162,104,16,2,15.82799958,3,4
1992,19.11000061,0,9.769999981,16,149,105,15,0,16.88500042,3,36
1993,29.01000023,0,16.03250003,16,145,101,35,4,23.37700062,3,30
1994,27.04000092,0,11.63099966,18,150,108,23,6,24.01840065,3,3
1995,24.46999931,0,10.65800037,18,154,108,19,7,22.41999931,3,1
1996,20.62999916,0,11.80500031,18,164,118,25,1,17.52900028,3,1
1997,26.02000046,0,11.22699976,18,175,120,27,3,19.72180035,3,0
1998,32.54999924,2,12.00400009,18,158,117,24,4,23.30599972,3,0
1999,31.71999931,2,13.6815001,18,169,134,28,6,21.62070038,3,2
2000,38.59999847,2,13.35999966,17,172,123,23,8,27.84750053,3,0
2001,28.79999924,0,12.95100031,18,151,110,24,7,23.87699966,3,0
2002,32.50999832,1,11.23900013,18,154,105,22,4,20.2426004,3,0
2003,30.93000031,1,13.07200022,18,153,113,31,5,24.17040073,3,0
2004,23.65999985,0,8.865499878,18,150,114,16,4,20.48300034,3,0
2005,29.71999931,0,12.89700012,18,148,103,29,4,21.59360023,3,0
2006,31.43000031,1,13.8880002,18,160,118,29,7,23.81599987,3,0
2007,36.56000137,2,15.30700016,17,151,107,32,8,26.36740063,3,7
2008,30.85000038,1,12.05499973,18,159,113,25,2,17.06159988,3,4
2009,29.98999977,0,7.795000196,18,146,103,11,2,16.92350006,3,0
2010,21.04000092,0,8.075000048,18,159,102,12,1,12.94250021,3,0
2011,22.54000092,0,9.167500019,18,144,95,15,1,16.12850022,3,0
2012,44.45000076,1,11.21399956,18,157,120,23,4,20.96720055,3,2
2013,26.13999939,0,9.201999664,18,141,91,17,4,22.29919979,3,0
2014,34.36999893,1,15.99000025,18,190,129,34,10,24.49149971,3,0
