Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,34.63999939,2,10.15200024,17,151,119,20,6,23.86320038,3,9
1984,24.63999939,0,9.170000076,11,78,59,11,1,17.08600044,2,126
1985,29.55999947,0,11.20000019,17,169,122,22,3,20.12009989,3,18
1986,49.11000061,1,10.81900001,16,140,109,19,6,23.08250053,3,38
1987,26.04000092,0,12.54250026,17,154,119,21,4,21.92199917,3,20
1988,24.86000061,0,15.94000044,16,148,128,40,4,20.83639992,3,29
1989,26.35000038,0,17.39400005,16,166,124,40,12,25.26450033,3,34
1990,23.44000053,0,14.94799995,16,156,123,35,6,20.96560028,3,33
1991,30.65999985,1,13.21649957,18,186,134,27,5,24.20230003,3,4
1992,37.50999832,2,12.07000017,16,166,125,26,6,26.03499985,3,36
1993,36.59000015,2,15.68000007,16,163,125,39,11,27.31350079,3,30
1994,40.06000137,1,14.70300007,18,149,115,29,12,26.62379986,3,3
1995,26.82999992,0,11.31599998,18,162,127,21,2,18.13880058,3,1
1996,26.37999916,0,13.57749963,18,187,139,28,4,21.71850071,3,1
1997,31.03000069,1,14.09700022,18,190,133,36,2,18.2403997,3,0
1998,31.81999969,1,14.14400015,18,177,140,30,6,25.62660084,3,0
1999,34.54999924,2,14.52699981,18,170,140,46,8,23.78349951,3,2
2000,34.36999893,1,13.76200013,18,184,151,36,7,23.5504001,3,0
2001,44.29999924,1,15.19799995,18,168,130,37,5,26.68259968,3,0
2002,29.82999992,0,13.7869998,18,158,121,35,2,18.77439976,3,0
2003,44.59000015,2,15.15200005,18,162,127,38,6,29.23580017,3,0
2004,28.68000031,0,12.96849995,18,169,127,34,6,25.09170031,3,0
2005,26.30999947,0,13.29400015,18,169,116,33,6,23.24339977,3,0
2006,28.07999992,0,14.45900021,18,168,135,32,8,23.74319977,3,0
2007,37.90999985,2,15.73299999,17,161,128,41,10,28.87219963,3,7
2008,28.37999916,0,15.73699989,18,179,131,45,8,26.44560005,3,4
2009,39.29000092,1,10.5175004,18,168,115,23,3,19.62250061,3,0
2010,34.5,1,9.139999628,18,176,125,16,1,13.64750004,3,0
2011,33.02999878,1,12.39999986,18,174,124,27,6,24.2545002,3,0
2012,38.54999924,1,13.79400024,18,170,136,33,6,22.77760025,3,2
2013,28.53000069,0,12.94699965,18,161,121,25,7,25.95799942,3,0
2014,30.59000015,1,16.87249947,18,196,145,35,17,26.32099943,3,0
