Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,19.72999954,0,7.330000114,17,95,65,13,0,17.8847995,3,9
1984,15.44999981,0,6.179999828,11,54,37,6,0,13.70599995,2,126
1985,24.64999962,0,9.843499756,17,103,70,16,1,17.53419977,3,18
1986,28.53000069,0,8.766500139,16,95,72,11,3,21.86600018,3,38
1987,29.92000008,0,6.280000091,17,101,62,7,1,13.0340003,3,20
1988,18.77000046,0,12.18549986,16,103,80,23,0,15.35889998,3,29
1989,19.43000031,0,9.513500071,16,107,78,15,0,16.68909966,3,34
1990,18.14999962,0,6.081999969,16,93,58,7,0,12.98239994,3,33
1991,26.05999947,0,9.344500351,18,118,80,17,1,17.22069981,3,4
1992,23.09000015,0,9.009999752,16,115,79,13,1,16.97099991,3,36
1993,24.97999954,0,7.285500193,16,111,76,8,1,15.7325,3,26
1994,27.18000031,0,10.88299961,18,121,85,23,4,21.86980057,3,3
1995,20.44000053,0,10.24600029,18,130,95,19,1,15.54759972,3,1
1996,16.78000069,0,8.297500134,18,121,76,14,0,13.72050028,3,1
1997,17.20999908,0,7.710000038,17,131,89,9,0,15.51019983,3,0
1998,33.36999893,1,11.01499968,18,115,85,21,4,20.15199963,3,0
1999,47.18000031,1,9.653500128,18,120,91,15,3,17.48860017,3,2
2000,19.5,0,8.234499693,18,112,74,15,0,14.87310028,3,0
2001,31.47999954,1,11.49599962,18,109,81,25,6,26.19140007,3,0
2002,23.45999908,0,9.588999748,18,123,78,17,2,16.8738002,3,0
2003,41.54000092,1,12.73500004,18,126,98,24,9,25.01940086,3,0
2004,30.64999962,1,9.017499828,18,118,79,16,1,16.4737001,3,0
2005,47.93999863,1,11.22200022,18,110,79,27,6,24.98859955,3,0
2006,27.01000023,0,15.1420002,18,131,91,28,5,21.99560032,3,0
2007,22.97999954,0,11.11500015,17,99,76,21,2,18.25979954,3,7
2008,27.77000046,0,11.52199993,18,118,93,21,4,21.08940006,3,4
2009,17.98999977,0,8.327500105,18,117,76,11,0,14.31899996,3,0
2010,22.82999992,0,9.947499752,18,111,84,18,3,19.12500038,3,0
2011,25.79000092,0,10.71250033,18,107,78,20,3,19.16449957,3,0
2012,32.5,2,16.08599987,18,128,98,37,9,28.80520058,3,2
2013,22.26000023,0,10.54300003,18,120,80,20,3,18.25900024,3,0
2014,38.29000092,2,12.05499983,18,140,87,26,7,24.56600008,3,0
