Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,25.57999992,0,8.106000137,17,80,52,9,1,15.66120003,3,9
1984,9.600000381,0,4.340000153,11,44,32,0,0,8.107999802,2,126
1985,17.77000046,0,7.408999848,17,107,67,6,0,13.02029988,3,18
1986,28.53000069,0,7.449999881,16,92,63,11,3,19.38710033,3,38
1987,15.76000023,0,6.337500095,17,107,57,6,0,12.61150002,3,20
1988,24.10000038,0,9.564500046,16,113,67,15,1,18.80149998,3,29
1989,27.38999939,0,7.132499981,16,117,81,11,2,18.0019997,3,34
1990,10.01000023,0,3.809999943,15,91,43,1,0,8.232800026,3,33
1991,21.17000008,0,4.017999983,18,95,56,7,2,11.84789979,3,4
1992,26.20999908,0,9.075000286,16,108,71,12,1,17.85400028,3,36
1993,15.39000034,0,5.754999876,16,119,73,4,0,11.39649968,3,30
1994,26.55999947,0,9.122000122,18,114,78,13,2,16.53879969,3,3
1995,34.86999893,1,9.878000069,18,126,82,17,2,16.94079964,3,1
1996,18.78000069,0,7.605000019,18,117,71,11,0,15.36499968,3,1
1997,24.11000061,0,7.875999975,18,132,76,10,4,20.57100025,3,0
1998,22.04999924,0,10.19399996,18,112,74,19,1,15.11679974,3,0
1999,24.82999992,0,7.360999823,18,128,85,12,3,17.93379986,3,2
2000,18.14999962,0,7.28500011,18,125,74,11,0,14.56950033,3,0
2001,23,0,6.590999842,18,111,70,11,2,16.51840023,3,0
2002,24.21999931,0,8.726000214,18,111,76,13,3,19.41600018,3,0
2003,18.55999947,0,7.718000126,18,111,73,9,0,16.13040043,3,0
2004,18.94000053,0,7.866500044,18,120,74,8,0,15.67969975,3,0
2005,21.10000038,0,10.11899977,18,119,75,18,1,15.89519979,3,0
2006,22.97999954,0,9.199999714,18,126,89,15,3,18.10059929,3,0
2007,37.40000153,1,10.81400003,17,109,80,19,3,20.87440041,3,7
2008,23.47999954,0,6.299000168,18,132,83,7,1,12.8129998,3,4
2009,21.29000092,0,6.48999989,18,110,69,9,1,17.16050034,3,0
2010,16.12999916,0,6.722499967,18,125,70,8,0,11.33699985,3,0
2011,32.97000122,1,9.24000001,18,107,71,17,4,20.36749935,3,0
2012,31.01000023,1,7.289999962,18,98,61,15,3,20.28119972,3,2
2013,34.15999985,1,7.59000001,18,127,77,10,3,20.19500046,3,0
2014,23.37000084,0,9.612499714,18,154,95,17,2,19.24199963,3,0
