Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.910000026,0,0,3,3,0,0,0,0.088000001,3,9
1984,0,0,0,0,0,0,0,0,0,0,126
1985,0.189999998,0,0,1,1,0,0,0,0,1,18
1986,3.680000067,0,0.239999995,15,22,2,0,0,0.879799991,3,38
1987,2.410000086,0,0.157499999,17,18,1,0,0,0.627499998,3,20
1988,11.09000015,0,0.298000002,16,24,8,1,0,6.022899952,3,29
1989,2.460000038,0,0.159999996,15,18,2,0,0,0.736299999,3,34
1990,1.409999967,0,0,1,1,1,0,0,0,1,33
1991,1.200000048,0,0,11,11,1,0,0,0.413899993,3,4
1992,2.890000105,0,0,11,11,2,0,0,0.85800001,3,36
1993,1.159999967,0,0,8,8,1,0,0,0.245999993,3,30
1994,8.100000381,0,0.349999994,17,22,7,0,0,3.815600095,3,3
1995,2.099999905,0,0,14,14,4,0,0,1.081599965,3,1
1996,0.569999993,0,0,12,12,0,0,0,0.383499992,3,1
1997,2.410000086,0,0,11,11,4,0,0,1.096800027,3,0
1998,2.74000001,0,0,16,16,1,0,0,0.843599991,3,0
1999,5.420000076,0,0.370000005,17,35,7,0,0,2.713599999,3,2
2000,0.519999981,0,0,9,9,0,0,0,0.34320001,3,0
2001,1.139999986,0,0,6,6,1,0,0,0.325,3,0
2002,4.860000134,0,0,11,11,2,0,0,0.777600014,3,0
2003,3.579999924,0,0,15,15,4,0,0,1.173799994,3,0
2004,0.209999993,0,0,1,1,0,0,0,0,1,0
2005,3.170000076,0,0.187,18,21,4,0,0,1.151400015,3,0
2006,1.159999967,0,0.170000002,16,21,1,0,0,0.857199998,3,0
2007,5.829999924,0,0.470999998,17,25,12,0,0,4.722000151,3,7
2008,0.870000005,0,0,9,9,0,0,0,0.306399998,3,4
2009,7.309999943,0,0,13,13,4,0,0,1.340000039,3,0
2010,9.880000114,0,0.399999999,18,33,9,0,0,2.231999946,3,0
2011,0.379999995,0,0,7,7,0,0,0,0.281500001,3,0
2012,5.590000153,0,0.136000001,18,18,2,0,0,0.504399996,3,2
2013,8.609999657,0,0.297000006,18,30,8,0,0,3.290799961,3,0
2014,5.849999905,0,0.197500002,18,38,9,0,0,2.46000005,3,0
