Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20.64999962,0,5.658000088,17,91,57,6,1,12.81600018,3,9
1984,7.389999866,0,2.400000095,11,46,20,0,0,6.54800005,2,126
1985,19.92000008,0,5.579499841,17,111,64,6,0,14.79789986,3,18
1986,21.97999954,0,8.710500193,16,93,63,14,3,19.98490017,3,38
1987,20.61000061,0,7.147500038,17,113,72,10,1,15.97600031,3,20
1988,41.90000153,1,8.379000425,16,118,78,15,4,22.90489948,3,29
1989,23.5,0,8.13349998,16,117,79,12,1,17.55490053,3,34
1990,21.07999992,0,5.124000072,16,74,50,9,1,17.59720009,3,33
1991,27.29000092,0,3.746000004,18,90,54,7,1,18.27049992,3,4
1992,31.04000092,1,8.539999962,16,104,74,9,2,15.98499966,3,36
1993,24.87999916,0,9.172500372,16,114,84,13,1,15.35450029,3,30
1994,25.54999924,0,10.4420002,18,119,83,20,2,18.40699989,3,3
1995,26.88999939,0,9.75399971,18,128,89,14,2,18.7835997,3,1
1996,23.90999985,0,9.17750001,18,117,83,15,4,21.82849979,3,1
1997,27.78000069,0,7.362999964,18,142,88,13,4,20.8944001,3,0
1998,21.77000046,0,8.827000141,18,114,74,17,3,19.7625996,3,0
1999,27.10000038,0,10.1815001,18,135,104,19,6,21.62060017,3,2
2000,18.72999954,0,7.044500113,18,125,81,12,0,13.78650021,3,0
2001,21.70000076,0,7.530000067,18,113,70,10,1,15.89320059,3,0
2002,31.01000023,1,8.157000017,18,92,58,12,4,20.73280003,3,0
2003,21.64999962,0,9.048999977,18,110,72,15,2,18.93440086,3,0
2004,24.09000015,0,7.787500191,18,102,74,9,1,14.06909977,3,0
2005,28.39999962,0,8.595999908,18,123,80,13,3,19.22320076,3,0
2006,27.43000031,0,7.397000217,18,121,75,12,3,20.29860012,3,0
2007,32.63999939,1,8.021000004,17,109,68,12,1,15.69879974,3,7
2008,16.20999908,0,5.974000025,18,114,63,4,0,11.9880002,3,4
2009,21.51000023,0,4.789999843,18,90,47,5,1,12.6559999,3,0
2010,15.86999989,0,4.940000057,18,117,70,8,0,12.50899973,3,0
2011,13.36999989,0,4.767500043,18,110,66,4,0,12.41399961,3,0
2012,14.57999992,0,6.624000168,18,122,71,7,0,12.89280014,3,2
2013,20.46999931,0,6.310000038,18,100,54,11,1,15.34239992,3,0
2014,24.04999924,0,9.722499609,18,149,99,17,1,15.85400038,3,0
