Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,6.579999924,0,1.186000037,17,46,18,0,0,3.870399933,3,9
1984,3.970000029,0,0.439999998,11,20,6,0,0,2.185999966,2,126
1985,6.300000191,0,0.932499984,17,53,16,0,0,4.655100021,3,18
1986,10.18999958,0,1.969500029,16,68,25,1,0,4.427400179,3,38
1987,14.61999989,0,1.830000013,17,69,26,4,0,12.90999975,3,20
1988,15.03999996,0,5.58499999,16,66,43,5,0,14.05150035,3,29
1989,9.960000038,0,2.324000037,16,69,30,0,0,6.049700117,3,34
1990,5.070000172,0,1.015999997,16,40,16,0,0,3.374000044,3,33
1991,8.600000381,0,0.895499977,18,48,16,0,0,4.480999954,3,4
1992,10.85000038,0,2.704999924,16,62,36,1,0,8.88900013,3,36
1993,9.979999542,0,2.037500024,16,81,32,0,0,8.119499969,3,30
1994,17.03000069,0,3.461000037,18,73,42,7,0,14.21280016,3,3
1995,17.79000092,0,3.738000011,18,87,40,3,0,9.113199883,3,1
1996,11.51000023,0,3.220000029,18,78,48,1,0,7.816000175,3,1
1997,8.180000305,0,2.960000038,18,82,41,0,0,6.397000027,3,0
1998,15.53999996,0,5.075999928,18,81,39,3,0,10.01299992,3,0
1999,14.81000042,0,4.205500007,18,100,57,4,0,11.63249996,3,2
2000,6.079999924,0,1.262999988,18,80,23,0,0,4.00680007,3,0
2001,15.35999966,0,3.093000078,18,70,26,2,0,9.659400406,3,0
2002,20.70999908,0,2.032999933,18,72,36,3,1,9.465400152,3,0
2003,23.98999977,0,3.873999977,18,96,46,4,1,12.68859983,3,0
2004,9.649999619,0,2.426000071,18,67,33,0,0,6.305100026,3,0
2005,13.36999989,0,2.444999981,18,79,35,2,0,8.573600178,3,0
2006,12.52000046,0,3.590000081,18,85,35,2,0,8.126800203,3,0
2007,18.21999931,0,4.253999996,17,79,44,5,0,11.73000031,3,7
2008,7.159999847,0,2.468999982,18,79,29,0,0,4.823599873,3,4
2009,16.43000031,0,2.257499993,18,63,26,3,0,8.554000235,3,0
2010,11.07999992,0,3.519999921,18,68,37,1,0,7.261499834,3,0
2011,8.489999771,0,1.630000025,18,61,25,0,0,5.998999929,3,0
2012,14.59000015,0,2.753999996,18,81,32,2,0,9.766000137,3,2
2013,24.36000061,0,2.849000072,18,78,36,4,1,12.11480005,3,0
2014,9.640000343,0,3.990000129,18,112,56,0,0,9.105999756,3,0
