Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,23.07999992,0,5.296000004,17,107,69,8,2,14.92439972,3,9
1984,9.68999958,0,3.900000095,11,57,34,0,0,9.209999657,2,126
1985,24.57999992,0,5.774999976,17,118,65,4,1,11.86690007,3,18
1986,22.64999962,0,7.484000015,16,98,66,8,1,12.89089956,3,38
1987,21.23999977,0,6.035000086,17,124,74,7,1,15.17800035,3,20
1988,27.89999962,0,10.27700005,16,119,82,18,4,21.58640005,3,29
1989,23.90999985,0,8.859999895,16,124,78,12,1,17.48379963,3,34
1990,20.78000069,0,6.247999954,16,109,67,9,1,12.93000023,3,33
1991,23.69000053,0,6.832000136,18,123,71,8,2,19.33030012,3,4
1992,25.37999916,0,8.764999866,16,118,72,12,2,17.89500008,3,36
1993,20.73999977,0,11.26000023,16,120,80,19,1,18.30650024,3,30
1994,26.95000076,0,9.146000099,18,119,79,17,2,15.40659988,3,3
1995,24.09000015,0,9.041999817,18,138,88,15,3,19.60640076,3,1
1996,22.37999916,0,7.547499895,18,139,82,9,2,16.2364996,3,1
1997,28.80999947,0,7.085999918,18,155,92,12,3,16.7274003,3,0
1998,25.68000031,0,8.668999767,18,128,86,14,2,19.21579979,3,0
1999,31.02000046,1,10.36549993,18,147,90,19,4,21.19650013,3,2
2000,28.92000008,0,8.407500315,18,141,83,15,3,19.93000069,3,0
2001,29.20000076,0,8.349000168,18,117,81,14,2,15.51719967,3,0
2002,19.13999939,0,8.156000328,18,129,88,12,0,16.70899998,3,0
2003,28.42000008,0,10.21699991,18,128,76,18,3,19.52699986,3,0
2004,17.47999954,0,8.343999672,18,133,78,14,0,13.55250027,3,0
2005,25.14999962,0,9.162999821,18,135,77,14,1,17.09059944,3,0
2006,31.95000076,1,9.235999775,18,125,83,13,1,16.81999979,3,0
2007,36.5,3,15.22100019,17,117,80,26,8,27.00440033,3,7
2008,17.95000076,0,8.410999584,18,142,92,10,0,14.12859968,3,4
2009,18.26000023,0,6.627500057,18,121,73,8,0,15.6124999,3,0
2010,12.53999996,0,6.155000091,18,135,78,5,0,11.34649992,3,0
2011,26.40999985,0,8.150000334,18,117,67,13,3,17.90099945,3,0
2012,24.04999924,0,8.978000259,18,143,89,16,3,18.91720009,3,2
2013,30.5,1,9.004000092,18,127,78,14,2,18.69699989,3,0
2014,22.84000015,0,9.894999981,18,162,102,17,2,17.36400032,3,0
