Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,27.85000038,0,7.175999832,17,89,62,13,2,16.59959984,3,9
1984,22.06999969,0,3.410000086,11,53,28,5,1,13.83600025,2,126
1985,20.88999939,0,8.137500024,17,107,64,13,1,17.2595001,3,18
1986,22.47999954,0,8.708000088,16,95,63,13,3,19.08200076,3,38
1987,22.34000015,0,6.4599998,17,111,71,6,1,15.13349977,3,20
1988,49.86000061,1,8.983000326,16,111,71,16,6,24.33650013,3,29
1989,18.70000076,0,8.254500103,16,112,77,8,0,13.62570004,3,34
1990,19.42000008,0,6.96400013,16,112,60,12,0,16.07639977,3,33
1991,44.09999847,2,7.923499846,18,109,64,12,4,27.81399939,3,4
1992,24.45000076,0,7.839999914,16,107,74,13,3,20.21999931,3,36
1993,15.09000015,0,6.775000095,16,116,68,5,0,12.52149963,3,30
1994,33.49000168,1,8.932000065,18,124,78,14,1,16.44800011,3,3
1995,26.44000053,0,8.002000332,18,121,74,11,1,17.09759995,3,1
1996,16.37999916,0,6.972499847,18,130,83,10,0,15.11400013,3,1
1997,20.12999916,0,9.193000221,18,124,75,16,1,17.8334,3,0
1998,26.31999969,0,9.694999886,18,119,64,16,5,20.7888002,3,0
1999,23.45999908,0,9.53900013,18,115,78,16,2,18.25809984,3,2
2000,24.23999977,0,8.427499676,18,110,71,14,1,17.59260038,3,0
2001,24.20999908,0,8.708999634,18,117,70,16,2,18.41539963,3,0
2002,19.61000061,0,6.601999903,18,126,75,9,0,13.51299984,3,0
2003,30.19000053,1,9.828999615,18,124,82,16,5,20.75820015,3,0
2004,18.62999916,0,9.382999945,18,117,68,15,0,15.90879985,3,0
2005,42.56999969,1,10.39499979,18,114,66,19,4,21.99679947,3,0
2006,34.63999939,1,9.075,18,130,80,16,1,17.08319984,3,0
2007,22.65999985,0,9.752000237,17,111,68,17,2,17.44879993,3,7
2008,20.51000023,0,8.884999657,18,124,74,14,1,15.76259979,3,4
2009,22.65999985,0,7.0200001,18,118,70,11,2,18.32449989,3,0
2010,19.85000038,0,7.235000134,18,131,76,8,0,14.7644999,3,0
2011,18.47999954,0,7.547500014,18,117,73,9,0,15.63449984,3,0
2012,34.52999878,2,8.199999809,18,128,87,16,3,19.99120018,3,2
2013,20.97999954,0,10.01900005,18,120,70,18,1,18.29419971,3,0
2014,18.38999939,0,8.6875,18,140,85,15,0,16.85149984,3,0
