Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,21.38999939,0,6.139999962,17,115,75,6,1,16.00440048,3,9
1984,10.30000019,0,4.400000095,11,53,37,1,0,9.306000328,2,126
1985,21.51000023,0,8.343499756,17,121,68,9,1,15.07770017,3,18
1986,20.76000023,0,6.098499823,16,105,63,8,1,16.53199949,3,38
1987,19.5,0,7.830000043,17,130,79,12,0,15.95799956,3,20
1988,20.72999954,0,11.09999981,16,124,80,18,1,16.25189955,3,29
1989,16.38999939,0,8.983000231,16,128,80,9,0,13.92940016,3,34
1990,16.69000053,0,6.262000179,16,114,69,6,0,12.0479998,3,33
1991,21.87999916,0,5.904999852,18,118,68,9,1,17.54589994,3,4
1992,24.21999931,0,8.40500021,16,118,70,12,1,13.81599989,3,36
1993,21.55999947,0,11.26750016,16,120,79,18,2,17.45899973,3,30
1994,37.04999924,1,8.377999687,18,126,88,9,2,17.53640015,3,3
1995,23.21999931,0,7.918000031,18,142,94,11,2,16.50319984,3,1
1996,25.29999924,0,8.244999886,18,143,96,13,2,16.93000078,3,1
1997,23.75,0,8.024999666,18,152,99,10,5,20.81040058,3,0
1998,32.45999908,1,8.854999733,18,133,87,14,4,20.7716003,3,0
1999,33.93999863,2,9.867500019,18,152,105,16,3,19.98840073,3,2
2000,28.81999969,0,8.871499968,18,144,90,13,6,22.2920998,3,0
2001,20.29000092,0,8.290999985,18,137,79,15,1,15.64819986,3,0
2002,23.35000038,0,8.734000206,18,114,79,15,3,20.19439968,3,0
2003,31.5,1,8.977999783,18,122,82,14,5,21.86119934,3,0
2004,20.01000023,0,6.692999816,18,125,87,12,1,15.86819957,3,0
2005,19.59000015,0,7.521000004,18,130,82,14,0,14.90059978,3,0
2006,22.44000053,0,9.306999969,18,144,94,14,3,19.87259956,3,0
2007,23.80999947,0,12.0079998,17,121,80,29,6,21.35420048,3,7
2008,20.04000092,0,8.397999811,18,145,92,12,1,15.27119993,3,4
2009,29.46999931,0,6.887500048,18,113,77,9,3,19.75949955,3,0
2010,15.59000015,0,5.602500081,18,133,79,4,0,11.30899987,3,0
2011,21.82999992,0,6.837500095,18,121,70,11,1,16.97349997,3,0
2012,27.12000084,0,7.349999905,18,142,85,9,1,14.13520008,3,2
2013,28.14999962,0,7.366999817,18,127,77,11,7,23.01039959,3,0
2014,21.47999954,0,11.2474997,18,163,97,23,1,18.56799955,3,0
