Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,8.409999847,0,1.008000016,17,48,17,0,0,3.803600025,3,9
1984,28.45000076,0,0.469999999,11,17,7,3,2,16.17200012,2,126
1985,25.40999985,0,0.942000014,17,53,15,3,2,10.68220011,3,18
1986,5.789999962,0,0.654999989,16,46,7,0,0,3.507200038,3,38
1987,8.930000305,0,1.325000018,17,60,24,0,0,4.154999924,3,20
1988,12.32999992,0,0.516500002,16,37,9,2,0,6.047999921,3,29
1989,26.82999992,0,0.902500001,16,51,15,1,1,8.26640029,3,34
1990,10.22000027,0,0.588,16,38,8,1,0,2.531999969,3,33
1991,29.04999924,0,1.330000043,17,48,24,4,2,12.66219975,3,4
1992,8.710000038,0,2.195000052,16,84,31,0,0,4.51500001,3,36
1993,17.72999954,0,1.862500012,16,67,33,2,0,6.781000042,3,30
1994,6.329999924,0,1.42699995,18,62,21,0,0,4.839800186,3,3
1995,21.90999985,0,1.295999956,18,54,27,3,1,10.61639988,3,1
1996,12.97999954,0,1.325000018,18,72,27,2,0,8.108000231,3,1
1997,8.760000229,0,3.001999998,18,89,55,0,0,8.176999836,3,0
1998,22.82999992,0,1.721999991,18,73,32,3,2,12.4058003,3,0
1999,37.06000137,1,1.530499953,18,66,23,2,2,7.101099868,3,2
2000,12.81999969,0,1.286499965,18,53,23,2,0,7.668500152,3,0
2001,3.569999933,0,0.91700002,18,51,17,0,0,3.035600047,3,0
2002,7.880000114,0,0.32400001,18,34,9,0,0,5.216600037,3,0
2003,3.74000001,0,0.639999986,17,41,11,0,0,2.133599954,3,0
2004,17.21999931,0,0.483000006,18,40,11,1,0,3.816399937,3,0
2005,8.170000076,0,1.169000041,18,54,19,0,0,3.943400059,3,0
2006,13,0,0.816999996,18,64,16,1,0,2.374999962,3,0
2007,7.920000076,0,0.720000029,16,49,10,0,0,3.93839992,3,7
2008,2.75,0,0.339000005,18,44,6,0,0,1.533399985,3,4
2009,5.829999924,0,0.542500004,18,39,8,0,0,1.412500006,3,0
2010,4.78000021,0,0.680000007,17,56,11,0,0,3.199000072,3,0
2011,3.24000001,0,0.482499994,18,43,10,0,0,1.886500037,3,0
2012,16.45000076,0,0.407999998,18,43,5,1,0,1.160799966,3,2
2013,4.510000229,0,0.617000008,18,43,11,0,0,3.113799982,3,0
2014,46.56999969,1,1.715000004,18,72,21,4,1,12.7019999,3,0
