Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,16.38999939,0,3.891999912,17,93,51,4,0,11.62279995,3,9
1984,10.17000008,0,2.50999999,11,49,23,1,0,7.776000023,2,126
1985,19.19000053,0,4.37949996,17,101,57,3,0,10.61849986,3,18
1986,16.95000076,0,4.919499922,16,88,55,6,0,16.18710056,3,38
1987,17.75,0,5.252500176,17,111,60,8,0,14.4230001,3,20
1988,21.56999969,0,9.112500334,16,112,76,11,1,16.30969967,3,29
1989,17.39999962,0,7.226000023,16,116,69,11,0,15.05810023,3,34
1990,14.97000027,0,4.250000095,16,93,50,3,0,10.01640015,3,33
1991,18.17000008,0,3.928500044,18,93,49,3,0,10.38189979,3,4
1992,20.25,0,5.769999981,16,96,59,6,1,13.37099962,3,36
1993,20.63999939,0,7.167500138,16,112,75,8,1,14.87899985,3,30
1994,27.96999931,0,6.705999994,18,108,63,11,1,13.47159973,3,3
1995,23.57999992,0,6.788000107,18,127,87,10,1,16.04039993,3,1
1996,19.59000015,0,6.139999866,18,132,77,9,0,13.01350031,3,1
1997,22.40999985,0,6.164999771,18,130,72,10,1,15.6074003,3,0
1998,22.04999924,0,9.644999886,18,116,69,17,3,18.11000015,3,0
1999,27.45999908,0,9.330000257,18,140,91,15,5,20.40180016,3,2
2000,20.35000038,0,6.475500178,18,117,68,7,1,14.77880005,3,0
2001,19.87000084,0,5.979000044,18,129,71,9,0,14.08099993,3,0
2002,19.94000053,0,6.795999956,18,95,61,11,0,14.14200003,3,0
2003,27.02000046,0,7.277999973,18,116,70,14,3,19.44719975,3,0
2004,18.25,0,6.970499945,18,109,57,7,0,11.77339997,3,0
2005,16.02000046,0,5.690000057,18,114,73,7,0,13.43139967,3,0
2006,17.5,0,6.876000118,18,122,77,8,0,13.59880026,3,0
2007,30.06999969,1,9.932999706,17,113,76,17,2,18.06760025,3,7
2008,12.77000046,0,6.431000042,18,127,81,8,0,11.48019987,3,4
2009,23.44000053,0,6.050000072,18,102,54,9,2,18.2034996,3,0
2010,11.10999966,0,4.867499828,18,121,62,2,0,9.231000185,3,0
2011,17.96999931,0,3.907500029,18,97,55,4,0,11.22500019,3,0
2012,16.19000053,0,5.455999851,18,120,74,9,0,13.20560032,3,2
2013,32.41999817,1,5.314999962,18,109,57,8,2,16.55580013,3,0
2014,17.09000015,0,9.302499771,18,151,93,15,0,14.13799987,3,0
