Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,31.04000092,1,15.59399986,17,178,124,34,4,21.28360016,3,9
1984,36.34999847,1,14.96000004,11,107,70,20,3,23.33999939,2,126
1985,25.12000084,0,14.00250039,17,189,136,32,5,22.56889956,3,18
1986,22.12000084,0,12.56449962,16,182,125,31,3,19.7672994,3,38
1987,24.86000061,0,13.75499988,17,176,131,33,4,20.78399982,3,20
1988,27.23999977,0,16.1954999,16,195,148,52,7,25.5472998,3,29
1989,33.06999969,2,17.1340003,16,180,146,44,12,25.83750053,3,34
1990,38.77000046,2,13.38399982,16,205,141,33,4,24.5096003,3,33
1991,27.79000092,0,17.6715003,18,194,141,46,11,26.14320026,3,4
1992,22.56999969,0,15.375,16,205,156,47,7,21.79299965,3,36
1993,43.20000076,1,14.85749984,16,194,134,44,6,22.20300074,3,30
1994,27.67000008,0,12.58100033,18,188,150,33,3,20.76359959,3,3
1995,29.72999954,0,15.48600006,18,196,150,54,9,25.92360016,3,1
1996,29.07999992,0,14.2275002,18,217,163,40,4,21.11349955,3,1
1997,31.04999924,1,15.19999981,17,215,161,40,6,21.71279972,3,0
1998,29.68000031,0,15.46099997,18,203,151,47,5,20.97319988,3,0
1999,37.15999985,1,15.39949999,18,196,160,47,5,23.84090034,3,2
2000,26.70000076,0,16.30150003,18,192,148,43,7,22.52540005,3,0
2001,32.79000092,1,14.68600006,18,208,171,46,7,27.17559937,3,0
2002,29.64999962,0,15.22600002,18,200,155,45,8,26.43039951,3,0
2003,33.25999832,2,14.67700024,18,207,157,49,11,23.5422002,3,0
2004,28.39999962,0,13.28750019,18,214,156,27,3,19.8029001,3,0
2005,32.56999969,2,18.48000031,18,182,145,51,10,27.47479973,3,0
2006,26.65999985,0,16.10299969,18,200,147,59,8,23.40159962,3,0
2007,26.32999992,0,15.39199991,17,211,152,45,9,23.70460018,3,7
2008,33.47999954,1,15.72700024,18,206,159,48,5,24.77499954,3,4
2009,35.63000107,1,13.12999988,18,192,143,34,6,24.93849983,3,0
2010,33.52999878,2,13,18,226,165,38,5,26.31999979,3,0
2011,26.79000092,0,13.85000014,18,187,132,35,7,25.48600016,3,0
2012,27.87000084,0,13.3539999,18,197,148,32,3,20.36040024,3,2
2013,21.71999931,0,13.98000002,18,226,158,39,1,18.12119949,3,0
2014,34.66999817,1,14.1474998,18,221,167,30,5,22.24300089,3,0
