Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,33,1,13,15,60,54,26,5,24.54,3,20
1984,39,2,12.65,17,51,50,20,6,28.53,3,19
1985,29,0,15.65,16,65,61,23,10,24.73,3,39
1986,41,2,14,13,54,54,23,7,27.24,3,20
1987,31,1,14,17,75,72,33,7,24.02,3,0
1988,26,0,15.2,15,69,69,28,7,24.52,3,50
1989,38,1,17,14,70,68,32,10,27,2,41
1990,41,1,14.75,17,59,56,25,7,25.1,3,21
1991,41,2,14.7,18,62,59,25,12,28,2,0
1992,40,1,13,14,66,61,27,8,27,2,18
1993,50,3,15,15,76,72,31,9,29.32,3,10
1994,39,3,15,16,53,50,24,9,30.68,3,0
1995,26,0,16,16,77,75,35,5,23.02,3,0
1996,32,2,17,16,72,71,39,11,27.88,3,10
1997,41,2,17,14,70,68,34,8,25.34,3,0
1998,40,3,15.7,18,70,64,28,8,31.7,3,0
1999,29,0,15,15,81,78,38,8,26,2,10
2000,44,3,18.3,18,72,67,30,11,29.99,3,0
2001,45,1,17,16,64,56,31,12,25.34,3,0
2002,40,4,13.7,18,64,62,33,6,32.36,3,0
2003,35,3,15,14,68,65,32,7,29.7,3,0
2004,26,0,16,14,74,70,30,4,25,2,0
2005,29,0,16,17,69,68,40,10,27,1,0
2006,29,0,17,14,71,65,27,6,26,2,10
2007,33,2,15,17,71,68,27,9,29.34,3,0
2008,31,1,17,14,75,70,37,10,23.33,3,0
2009,45,1,12,17,61,60,25,7,25.02,3,0
2010,39,1,15,16,73,67,33,7,26,2,0
2011,41,1,14.7,18,67,61,33,9,23,2,0
2012,30,0,16,16,80,74,39,9,25,2,0
2013,37,2,13,17,62,56,27,8,28,2,0
2014,39,2,16,14,82,75,37,6,30,2,0
