Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,19,0,6,16,35,31,5,0,17,2,20
1984,17,0,5,16,42,37,4,0,14,2,19
1985,26,0,9,15,49,44,14,1,15.73,3,39
1986,20,0,5.7,17,39,31,5,0,14.08,3,20
1987,15,0,8,17,46,36,13,0,15,0,0
1988,19,0,8,10,55,52,7,0,13.84,3,50
1989,21,0,7,14,57,52,9,1,18,3,41
1990,20,0,8,16,47,42,12,0,16,2,21
1991,20,0,9,17,43,40,14,0,17,2,0
1992,26,0,7,14,52,47,7,2,15.6,3,18
1993,19,0,7.2,17,55,49,9,0,15,2,10
1994,25,0,7,16,44,41,5,1,11.68,3,0
1995,20,0,6,16,47,42,7,0,13.68,3,0
1996,20,0,9,15,50,46,14,0,15.88,3,10
1997,22,0,8,14,60,53,7,1,15.02,3,0
1998,23,0,6.7,18,50,43,11,1,19,1,0
1999,20,0,8,13,50,47,9,0,14.32,3,10
2000,34,1,8,17,61,54,9,1,18.33,3,0
2001,30,0,9,14,55,49,11,2,16.36,3,0
2002,23,0,9,16,50,47,13,1,14.68,3,0
2003,18,0,8.7,18,53,47,9,0,14.34,3,0
2004,22,0,8,14,51,45,8,1,18,2,0
2005,30,0,8,16,57,54,10,1,17,2,0
2006,20,0,7.2,17,59,50,11,0,15.88,3,10
2007,30,0,7,14,55,48,8,2,13,2,0
2008,21,0,10,16,56,52,16,1,17,2,0
2009,29,0,9,17,54,49,17,2,18.34,3,0
2010,21,0,7,17,57,50,7,1,15.02,3,0
2011,27,0,7,17,54,51,10,2,17.02,3,0
2012,23,0,9,16,52,48,15,1,16.33,3,0
2013,20,0,11,14,54,49,19,0,16,2,0
2014,29,0,9,16,54,50,13,2,16.68,3,0
