Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13,0,0,6,6,5,3,0,10.16,3,20
1984,11,0,0,5,5,5,1,0,8,2,19
1985,17,0,0,12,12,10,4,0,12.46,3,39
1986,23,0,0,11,11,11,2,1,9.54,3,20
1987,15,0,0,16,16,13,4,0,12.36,3,0
1988,17,0,3,12,19,16,5,0,12.84,3,50
1989,15,0,2,15,20,18,2,0,10,2,41
1990,10,0,0,7,7,7,0,0,7.55,3,21
1991,13,0,1,15,19,15,2,0,9.34,3,0
1992,12,0,0,12,12,11,1,0,9.04,3,18
1993,17,0,0,10,10,8,1,0,8.88,3,10
1994,12,0,0,16,16,16,1,0,8.68,3,0
1995,18,0,1,17,19,17,4,0,12,2,0
1996,12,0,0,15,15,11,1,0,10,1,10
1997,13,0,1,17,20,17,4,0,11,2,0
1998,29,0,5.7,18,21,20,8,2,17.36,3,0
1999,32,1,1.2,17,21,17,4,1,11,2,10
2000,23,0,2,17,19,19,7,2,15.65,3,0
2001,13,0,0,17,17,16,2,0,10,2,0
2002,12,0,0,16,16,16,1,0,8.34,3,0
2003,20,0,3,15,27,27,5,0,14.68,3,0
2004,15,0,0,17,17,15,1,0,7.99,3,0
2005,20,0,0.7,18,18,17,7,0,17.34,3,0
2006,17,0,1,15,21,15,6,0,12.88,3,10
2007,24,0,2.7,18,27,23,7,1,15,2,0
2008,20,0,3.65,18,26,20,4,0,12.66,3,0
2009,17,0,0,15,15,12,2,0,7.34,3,0
2010,25,0,1,16,24,16,3,1,8.36,3,0
2011,16,0,0,15,15,15,2,0,10,2,0
2012,18,0,3.3,18,25,23,4,0,11.33,3,0
2013,17,0,3,17,26,23,4,0,12.02,3,0
2014,11,0,3,16,29,26,2,0,9,2,0
