Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,31,1,15.4,17,63,57,29,8,26,2,20
1984,37,2,13,16,46,46,23,7,26.53,3,19
1985,29,0,17,13,75,73,31,4,22.73,3,39
1986,36,1,11.7,17,55,54,23,7,28.08,3,20
1987,27,0,15,17,74,73,33,9,27,0,0
1988,31,1,16.2,15,83,81,35,8,25.52,3,50
1989,30,0,16,14,85,79,33,5,24.5,3,41
1990,36,1,15,16,54,53,23,7,29.1,3,21
1991,30,0,14,17,56,54,24,9,25.68,3,0
1992,25,0,14,16,72,70,30,5,22.52,3,18
1993,32,2,16,14,74,73,36,8,28,2,10
1994,31,1,13,15,60,59,28,8,25.34,3,0
1995,27,0,14,14,78,75,33,4,21,2,0
1996,29,0,17.2,17,85,79,39,7,25.44,3,10
1997,25,0,15,16,81,76,35,4,23.34,3,0
1998,33,2,16.1,18,75,71,29,13,28.68,3,0
1999,29,0,15,15,86,85,41,9,23.44,3,10
2000,37,1,17,17,75,72,38,5,25.66,3,0
2001,28,0,15,15,72,69,33,4,23.68,3,0
2002,29,0,14.7,18,65,63,33,6,22.34,3,0
2003,34,1,16.7,18,71,69,36,8,23.36,3,0
2004,27,0,15,17,73,69,32,6,24.33,3,0
2005,31,1,17,15,68,64,37,10,25.34,3,0
2006,38,2,14,15,77,74,28,6,26.32,3,10
2007,33,1,14,17,73,69,31,6,25,2,0
2008,27,0,16.65,18,82,80,42,6,23.33,3,0
2009,26,0,14,16,68,57,29,6,22,2,0
2010,35,2,16,15,69,65,34,9,28.02,3,0
2011,33,3,14,16,66,62,29,8,27.04,3,0
2012,30,0,16,17,89,79,38,8,26,1,0
2013,42,3,15,16,58,57,28,8,31.02,3,0
2014,33,1,15.7,18,82,76,37,6,23,2,0
