Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,18,0,2,16,27,24,4,0,12.54,3,20
1984,19,0,0,14,14,10,2,0,8.12,3,19
1985,23,0,5,15,39,37,7,1,13.73,3,39
1986,17,0,5,12,40,30,4,0,13.54,3,20
1987,17,0,2.7,18,28,28,4,0,12.68,3,0
1988,16,0,7,13,56,53,6,0,14,2,50
1989,16,0,7,14,53,48,9,0,15,1,41
1990,18,0,5,15,24,24,5,0,11.55,3,21
1991,18,0,7,16,45,41,8,0,14,1,0
1992,18,0,6.2,17,36,31,6,0,13.52,3,18
1993,16,0,4.2,17,37,36,3,0,10.44,3,10
1994,16,0,5,17,43,39,4,0,12.02,3,0
1995,17,0,7.7,18,48,42,13,0,15.34,3,0
1996,15,0,5,11,39,37,5,0,13.44,3,10
1997,20,0,5,17,44,37,4,0,12,2,0
1998,21,0,9,17,49,45,16,1,16,2,0
1999,31,1,6,16,53,50,7,2,15.88,3,10
2000,21,0,7,16,48,42,9,1,15.99,3,0
2001,27,0,7.7,18,48,39,13,1,15,1,0
2002,19,0,8,14,50,44,9,0,16,2,0
2003,26,0,9,16,60,57,14,3,20.36,3,0
2004,19,0,8,16,39,36,8,0,14,2,0
2005,26,0,7,17,51,46,12,2,16.68,3,0
2006,22,0,7,14,50,48,6,1,16.88,3,10
2007,22,0,7,15,49,42,9,1,16.02,3,0
2008,18,0,8.65,18,57,50,10,0,14.33,3,0
2009,20,0,6,16,43,42,7,0,13,2,0
2010,21,0,7.7,18,56,52,6,1,14.68,3,0
2011,19,0,7,15,53,45,6,0,13,2,0
2012,18,0,8.65,18,59,54,14,0,15,2,0
2013,22,0,6.7,18,55,45,5,1,14.34,3,0
2014,19,0,9,14,52,46,11,0,16,2,0
