Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,24,0,13,16,88,82,25,4,23,2,20
1984,41,2,12.65,17,68,66,25,7,29.53,3,19
1985,27,0,13.65,16,79,69,23,3,23.65,3,39
1986,28,0,12.7,17,86,81,21,1,19,2,20
1987,26,0,13.7,18,76,70,24,4,23.34,3,0
1988,25,0,13.2,15,96,91,27,5,21,2,50
1989,29,0,13.75,16,81,72,26,4,26.25,3,41
1990,24,0,14,16,91,79,31,5,24,0,21
1991,30,0,12,13,84,81,23,3,19.36,3,0
1992,30,0,14.6,17,92,85,24,8,27.08,3,18
1993,26,0,12,16,73,68,22,3,20.44,3,10
1994,29,0,12,15,99,87,23,6,23.68,3,0
1995,26,0,12,17,90,85,24,4,22.68,3,0
1996,24,0,14,13,78,76,29,3,19.88,3,10
1997,31,1,14,16,91,85,28,7,24.02,3,0
1998,26,0,13,17,93,87,31,4,22,2,0
1999,26,0,12.2,17,97,85,23,6,23.44,3,10
2000,24,0,11.65,18,87,79,22,3,19.66,3,0
2001,30,0,11,17,95,87,21,4,21.34,3,0
2002,30,0,13,16,97,93,27,5,21.68,3,0
2003,43,1,13,14,98,93,27,4,24.7,3,0
2004,26,0,14.65,18,95,87,26,4,21.99,3,0
2005,29,0,13,17,89,83,29,5,26.68,3,0
2006,27,0,11,15,101,92,18,2,19,2,10
2007,23,0,14,12,94,75,25,2,19.34,3,0
2008,22,0,13,12,129,112,26,4,21,2,0
2009,29,0,14.7,18,111,94,31,3,19.68,3,0
2010,29,0,12,17,113,96,27,3,20.02,3,0
2011,27,0,12.7,18,105,96,27,2,20,2,0
2012,29,0,11.65,18,107,95,23,4,22.99,3,0
2013,27,0,13,14,103,93,30,3,20.34,3,0
2014,27,0,12.7,18,112,94,26,6,23,2,0
