Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,22,0,4,15,27,24,8,1,12.08,3,20
1984,22,0,0,6,6,5,1,1,4.59,3,19
1985,27,0,6,15,28,27,9,2,17.73,3,39
1986,20,0,5,15,28,28,9,0,18.54,3,20
1987,24,0,7.7,18,30,26,9,2,18.68,3,0
1988,21,0,10,13,42,37,13,2,20,2,50
1989,24,0,8,15,45,38,13,3,20.75,3,41
1990,28,0,0,16,16,15,7,1,14.1,3,21
1991,29,0,0,10,10,10,6,3,17.72,3,0
1992,23,0,7.6,17,28,24,11,1,15.52,3,18
1993,24,0,9,12,38,36,11,3,20.44,3,10
1994,32,1,4,17,24,22,9,1,17.34,3,0
1995,27,0,5,17,36,32,8,3,20.02,3,0
1996,21,0,6,16,34,30,8,1,18.88,3,10
1997,26,0,6,17,37,32,11,2,18.34,3,0
1998,26,0,8.7,18,37,36,15,1,20,1,0
1999,40,1,8,15,48,46,10,1,15.76,3,10
2000,27,0,8.65,18,36,34,16,3,19.99,3,0
2001,34,1,7,17,37,35,13,4,25.02,3,0
2002,23,0,7.7,18,31,30,10,1,18.34,3,0
2003,34,1,9,15,40,33,14,1,17.34,3,0
2004,26,0,5.65,18,35,30,12,3,19.66,3,0
2005,32,1,9,17,40,38,13,3,20.36,3,0
2006,22,0,6,14,32,29,10,1,15.44,3,10
2007,28,0,7.4,18,34,30,9,2,18.34,3,0
2008,24,0,6.65,18,35,33,12,2,17.99,3,0
2009,20,0,5.7,18,24,21,9,0,16.34,3,0
2010,23,0,7,16,43,34,11,3,20.68,3,0
2011,23,0,2,17,23,21,7,2,17.68,3,0
2012,22,0,7,17,37,32,15,2,18.66,3,0
2013,25,0,5.7,18,30,27,10,1,15,2,0
2014,23,0,7.7,18,44,37,11,2,19.34,3,0
