Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,21,0,4.7,17,28,24,8,2,18.54,3,20
1984,29,0,0,8,8,8,4,2,14.71,3,19
1985,32,1,7.3,16,28,27,8,4,23.92,3,39
1986,20,0,5,15,29,28,12,0,17,2,20
1987,27,0,4.7,18,35,30,10,3,20.34,3,0
1988,26,0,10,13,44,42,13,4,21.84,3,50
1989,30,0,9.5,16,45,39,11,4,21,2,41
1990,36,2,0,11,11,11,6,4,24.3,3,21
1991,35,2,0,14,14,12,6,3,19.44,3,0
1992,23,0,6,16,29,27,8,2,18,2,18
1993,23,0,8.4,17,33,31,15,1,19,2,10
1994,43,1,3.7,18,26,23,10,2,18.02,3,0
1995,37,1,5.7,18,33,32,8,5,22.34,3,0
1996,24,0,5,16,29,23,10,4,21.88,3,10
1997,32,1,8.4,18,32,31,14,3,21.38,3,0
1998,31,1,9.7,18,35,33,17,5,24.34,3,0
1999,37,1,9,16,44,41,13,2,18.32,3,10
2000,23,0,8,17,44,40,15,2,19.33,3,0
2001,30,0,7,17,39,36,13,3,20.68,3,0
2002,24,0,8,17,30,30,10,2,18.68,3,0
2003,34,1,9.4,18,35,31,16,5,23.7,3,0
2004,23,0,6,17,34,31,10,6,22,2,0
2005,30,0,7,17,39,38,12,3,20.34,3,0
2006,31,1,3.2,17,27,23,13,5,21.88,3,10
2007,31,1,6,17,31,26,10,3,18.7,3,0
2008,23,0,7,17,35,31,14,1,18.33,3,0
2009,27,0,3,17,27,25,8,3,20.7,3,0
2010,29,0,6.7,18,39,31,11,2,20,2,0
2011,24,0,5,17,27,24,7,2,17,2,0
2012,25,0,8.3,18,35,30,14,3,20.33,3,0
2013,32,1,5,16,25,23,12,4,21.34,3,0
2014,22,0,9.7,18,43,38,15,2,19,2,0
