Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,23,0,5,16,30,26,6,1,13,2,20
1984,14,0,0,15,15,13,3,0,10.53,3,19
1985,19,0,7,15,34,29,5,0,12.73,3,39
1986,19,0,2.7,17,28,22,3,0,10.54,3,20
1987,17,0,4,15,31,26,5,0,12.68,3,0
1988,28,0,6,14,33,29,10,2,18.84,3,50
1989,15,0,7,13,38,33,7,0,13,1,41
1990,22,0,5,15,31,30,11,1,18,2,21
1991,21,0,5.7,18,34,33,8,1,18,2,0
1992,23,0,4.6,17,27,27,7,2,15.52,3,18
1993,19,0,6,15,44,38,5,0,13.32,3,10
1994,16,0,3,12,30,24,5,0,14,2,0
1995,19,0,6,15,38,35,3,0,10.68,3,0
1996,18,0,5.2,17,33,33,7,0,12,2,10
1997,22,0,7,17,38,33,11,1,18,1,0
1998,23,0,7.7,18,38,33,13,1,17.34,3,0
1999,21,0,7,16,42,41,10,1,13.44,3,10
2000,22,0,7,15,38,32,10,2,16.66,3,0
2001,19,0,7,15,39,33,8,0,15,2,0
2002,25,0,6.7,18,43,38,6,1,11,2,0
2003,21,0,8.7,18,49,45,11,1,17.34,3,0
2004,23,0,7,15,39,37,9,1,16.99,3,0
2005,28,0,6.7,18,43,36,9,2,16.34,3,0
2006,18,0,8,13,39,36,7,0,12.88,3,10
2007,29,0,4.7,18,35,31,8,2,14.02,3,0
2008,20,0,7,16,42,35,10,0,16.33,3,0
2009,29,0,6,17,33,31,9,1,14.34,3,0
2010,23,0,7,17,47,40,6,1,14.34,3,0
2011,29,0,5,17,44,34,6,1,12,2,0
2012,22,0,6.65,18,35,33,9,1,14.66,3,0
2013,26,0,8,16,43,36,14,2,19,2,0
2014,17,0,6,17,41,39,7,0,13.34,3,0
