Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,32,1,15,16,84,75,31,6,26.08,3,20
1984,38,1,15,14,95,89,35,6,25.59,3,19
1985,31,1,15.3,16,101,94,28,6,23,2,39
1986,23,0,15,16,101,92,37,1,20,1,20
1987,38,1,13,16,77,72,28,5,22.68,3,0
1988,33,1,15,13,88,85,34,6,23.84,3,50
1989,30,0,17,15,90,81,33,11,25.75,3,41
1990,34,1,18,11,92,89,39,7,24.55,3,21
1991,30,0,15,14,94,87,35,7,25.02,3,0
1992,35,1,15.6,17,87,80,39,4,23,2,18
1993,26,0,14.2,17,105,100,38,4,22.44,3,10
1994,35,1,14,17,89,83,34,7,24.34,3,0
1995,32,2,14,16,92,88,40,8,28.02,3,0
1996,31,2,16.2,17,104,93,44,8,25.88,3,10
1997,30,0,16,15,104,99,41,5,24.34,3,0
1998,34,2,14.7,18,95,87,38,6,23.72,3,0
1999,24,0,16,16,102,95,42,6,21.88,3,10
2000,31,1,13.65,18,90,86,37,9,25.33,3,0
2001,36,2,14,17,101,88,33,9,28.68,3,0
2002,28,0,16,17,107,101,38,8,24.34,3,0
2003,32,1,17,15,108,100,44,8,23.68,3,0
2004,26,0,16.65,18,103,94,40,6,22,1,0
2005,29,0,18,13,94,83,37,9,24.34,3,0
2006,32,1,14.2,17,95,87,36,8,24.88,3,10
2007,24,0,13,16,118,110,39,4,21,2,0
2008,31,1,15.65,18,106,96,45,5,24.65,3,0
2009,25,0,16,17,119,115,47,4,22,2,0
2010,33,1,15,15,106,92,38,3,20.68,3,0
2011,31,2,14,16,103,94,36,8,27.34,3,0
2012,25,0,15,14,111,100,36,7,23,2,0
2013,29,0,15,17,94,87,35,8,25.34,3,0
2014,32,1,16,16,119,110,34,6,23.34,3,0
