Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,26,0,7,16,39,32,10,1,15,2,20
1984,22,0,6.65,17,46,37,9,2,17,2,19
1985,27,0,8.65,16,50,41,14,3,22.92,3,39
1986,25,0,4,16,43,40,7,3,19.24,3,20
1987,20,0,8,17,53,47,12,0,18,1,0
1988,25,0,9.2,15,58,52,11,3,22.36,3,50
1989,27,0,10,15,52,51,15,2,18.5,3,41
1990,26,0,7,15,49,40,7,1,17.2,3,21
1991,26,0,7,16,59,49,9,2,19.34,3,0
1992,23,0,8,15,50,46,9,1,16.04,3,18
1993,24,0,8,15,57,50,9,2,18.88,3,10
1994,35,1,6,17,52,44,13,2,16.36,3,0
1995,27,0,10,17,61,45,17,1,18,1,0
1996,39,1,7,15,55,46,9,3,19.32,3,10
1997,31,1,7.7,18,73,61,11,2,19,2,0
1998,24,0,11,17,56,52,19,3,19.02,3,0
1999,36,1,9,14,52,42,11,2,18.44,3,10
2000,26,0,6,17,51,45,13,3,20.99,3,0
2001,30,0,9,17,62,58,17,2,19.34,3,0
2002,29,0,8,16,49,42,12,3,20.34,3,0
2003,28,0,7.7,18,59,52,13,1,15,1,0
2004,29,0,7,17,52,46,11,2,17.66,3,0
2005,32,1,8.7,18,65,60,14,5,21.68,3,0
2006,43,3,8,13,60,52,9,3,25.04,3,10
2007,37,1,8,17,64,55,15,3,19.7,3,0
2008,33,1,8.65,18,64,52,13,4,25.33,3,0
2009,27,0,8,16,57,44,12,2,16.02,3,0
2010,28,0,9,17,64,52,14,3,20.34,3,0
2011,33,2,9,17,62,49,16,3,20.68,3,0
2012,27,0,8,17,61,55,11,4,23.33,3,0
2013,18,0,9,17,66,59,16,0,16.34,3,0
2014,40,1,8.7,18,70,58,15,2,17.68,3,0
