Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,33,2,14,13,37,36,21,8,26.7,3,20
1984,43,2,8.65,17,28,28,12,4,26.06,3,19
1985,30,0,11.65,16,40,40,18,3,21.46,3,39
1986,42,2,10.4,17,35,34,17,7,23,2,20
1987,34,2,12,16,50,50,24,5,26.68,3,0
1988,28,0,14.2,15,55,53,27,7,21.84,3,50
1989,47,2,17,14,53,51,21,5,27.75,3,41
1990,38,1,12,15,41,39,21,3,22.2,3,21
1991,43,3,12.4,18,36,34,19,9,29.04,3,0
1992,29,0,14,16,36,36,20,9,26,2,18
1993,44,3,13.2,17,51,49,22,6,29.4,3,10
1994,41,2,11,17,32,32,19,4,25.38,3,0
1995,32,1,11,17,55,52,19,6,24.68,3,0
1996,45,2,16.2,17,45,44,23,8,26.88,3,10
1997,35,2,14,17,54,54,30,7,25.38,3,0
1998,46,3,10.7,18,52,52,18,6,27.38,3,0
1999,31,1,12.2,17,58,57,22,5,24.88,3,10
2000,33,2,13.65,18,54,50,22,8,26.33,3,0
2001,39,2,12,17,49,46,21,6,25.02,3,0
2002,34,2,11.7,18,42,40,21,4,21.68,3,0
2003,43,4,14,17,45,45,23,12,32.36,3,0
2004,37,2,11.65,18,49,47,20,7,25.66,3,0
2005,33,3,12.7,18,47,45,22,7,28.36,3,0
2006,36,1,12.2,17,53,43,20,3,20.88,3,10
2007,39,1,12.7,18,57,50,24,9,27.36,3,0
2008,30,0,17,15,66,60,28,7,23.33,3,0
2009,38,3,10,16,49,45,16,4,24.74,3,0
2010,29,0,13.7,18,58,54,23,7,26.34,3,0
2011,41,3,11,17,43,38,19,7,31.7,3,0
2012,27,0,15,15,69,62,30,10,23.33,3,0
2013,38,1,12.7,18,53,50,25,6,22.34,3,0
2014,34,1,15.7,18,61,53,28,8,25.68,3,0
