Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,12,0,0,3,3,2,1,0,0.54,3,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,17,0,0,3,3,3,1,0,2.92,3,39
1986,20,0,0,5,5,3,1,0,1.54,3,20
1987,19,0,0,5,5,5,2,0,5.34,3,0
1988,21,0,0,9,9,9,3,1,15.88,3,50
1989,15,0,0,15,15,10,2,0,6.75,3,41
1990,13,0,0,2,2,2,2,0,0,2,21
1991,11,0,0,1,1,1,1,0,0,1,0
1992,15,0,0,5,5,5,1,0,2,2,18
1993,11,0,0,6,6,5,1,0,4.32,3,10
1994,18,0,0,10,10,9,2,0,6.36,3,0
1995,24,0,0,5,5,5,3,2,9.36,3,0
1996,16,0,0,7,7,7,1,0,9.44,3,10
1997,7,0,0,3,3,2,0,0,0.34,3,0
1998,18,0,0,16,16,15,5,0,12,2,0
1999,24,0,2,16,23,22,6,1,13.76,3,10
2000,8,0,0,1,1,1,0,0,0,1,0
2001,18,0,0,14,14,13,4,0,11,2,0
2002,15,0,0,5,5,5,3,0,8.04,3,0
2003,9,0,0,12,12,10,0,0,9,0,0
2004,12,0,0,4,4,3,1,0,1.33,3,0
2005,16,0,0,5,5,5,3,0,8.38,3,0
2006,22,0,0,9,9,7,2,1,5.44,3,10
2007,18,0,0,13,13,11,3,0,10.34,3,0
2008,24,0,0,8,8,7,3,1,10.33,3,0
2009,16,0,0,6,6,6,3,0,10.34,3,0
2010,14,0,0,9,9,9,8,0,13,1,0
2011,15,0,0,6,6,5,3,0,7.7,3,0
2012,26,0,0,10,10,7,2,1,10,2,0
2013,26,0,0,8,8,8,3,1,10.68,3,0
2014,19,0,0,10,10,10,5,0,13.68,3,0
