Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,9,0,0,4,4,4,0,0,4.08,3,20
1984,1,0,0,2,2,0,0,0,0,2,19
1985,3,0,0,2,2,1,0,0,0,2,39
1986,21,0,0,3,3,3,1,1,1.08,3,20
1987,5,0,0,7,7,4,0,0,2,2,0
1988,25,0,0,3,3,2,1,1,0.84,3,50
1989,16,0,0,7,7,5,1,0,2,2,41
1990,16,0,0,1,1,1,1,0,0,1,21
1991,2,0,0,1,1,1,0,0,0,1,0
1992,5,0,0,3,3,2,0,0,0.52,3,18
1993,3,0,0,8,8,5,0,0,2,1,10
1994,4,0,0,5,5,3,0,0,1.34,3,0
1995,3,0,0,1,1,1,0,0,0,1,0
1996,1,0,0,1,1,0,0,0,0,1,10
1997,11,0,0,14,14,13,1,0,7,1,0
1998,19,0,0,8,8,6,3,0,9.36,3,0
1999,8,0,0,8,8,4,0,0,4,2,10
2000,9,0,0,7,7,6,0,0,4.99,3,0
2001,7,0,0,3,3,2,0,0,0.34,3,0
2002,0,0,0,0,0,0,0,0,0,0,0
2003,8,0,0,1,1,1,0,0,0,1,0
2004,6,0,0,4,4,2,0,0,1,2,0
2005,7,0,0,6,6,5,0,0,3.68,3,0
2006,5,0,0,5,5,3,0,0,1.88,3,10
2007,15,0,0,4,4,4,1,0,2,2,0
2008,1,0,0,2,2,0,0,0,0,2,0
2009,8,0,0,2,2,1,0,0,0,2,0
2010,15,0,0,4,4,3,1,0,2.7,3,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,2,0,0,1,1,1,0,0,0,1,0
2013,15,0,0,2,2,2,1,0,0,2,0
2014,17,0,0,2,2,2,1,0,0,2,0
