Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,25,0,14,15,88,82,33,3,20.08,3,20
1984,32,1,15,14,94,88,40,6,22,2,19
1985,30,0,16.65,16,100,95,39,6,24.46,3,39
1986,32,1,13,16,96,88,34,3,20.54,3,20
1987,29,0,13.7,18,83,78,35,4,21.34,3,0
1988,29,0,15,14,113,102,38,5,24,2,50
1989,31,1,18,14,93,86,36,8,27,2,41
1990,32,1,15,15,118,102,40,5,23.55,3,21
1991,40,1,15.7,18,93,88,35,6,23.36,3,0
1992,32,1,16.6,17,103,92,39,9,24.6,3,18
1993,29,0,15,15,116,109,34,4,22.44,3,10
1994,35,1,13,17,92,88,36,7,26.02,3,0
1995,26,0,15.7,18,114,107,41,7,22.34,3,0
1996,32,1,16.2,17,110,99,36,8,25.44,3,10
1997,30,0,16,17,104,95,45,6,26.68,3,0
1998,31,1,14,17,98,95,38,5,23,1,0
1999,34,1,14.2,17,112,106,43,6,25.44,3,10
2000,26,0,15,13,94,88,38,5,22.66,3,0
2001,36,2,14.7,18,114,105,38,7,24.34,3,0
2002,28,0,15.7,18,107,102,45,7,23,2,0
2003,24,0,17,13,119,111,49,4,21.68,3,0
2004,27,0,13,16,117,107,32,6,22,2,0
2005,35,2,15.7,18,102,96,44,7,27.68,3,0
2006,31,1,15,16,101,94,36,9,25,2,10
2007,26,0,13.7,18,114,97,33,5,23.34,3,0
2008,28,0,15.65,18,115,108,42,7,24,2,0
2009,26,0,15,16,113,101,44,3,19.68,3,0
2010,26,0,15,16,121,106,37,8,23.68,3,0
2011,28,0,17,17,92,85,37,10,24,2,0
2012,35,1,16,17,112,101,47,6,25.66,3,0
2013,28,0,14,14,107,101,38,4,21.68,3,0
2014,28,0,14,14,126,113,47,3,21.36,3,0
